genes,SRR2973353,SRR2973354,SRR2973355,SRR2973356,SRR2973357,SRR2973358,SRR2973360,SRR2973361,SRR2973365,SRR2973366,SRR2973367,SRR2973368,SRR2973369,SRR2973386,SRR2973393,SRR2973396,SRR2973397,SRR2973400,SRR2973404,SRR2973409,SRR2973416,SRR2973417,SRR2973433
KRT7,1.659308,27.782164,306.445687,64.063513,51.296739,25.925138,39.222111,28.167859,156.182173,100.327431,109.727015,12.700765,94.266751,0.494271,1.500926,91.715097,312.544758,26.971854,1.820671,16.877249,13.17629,75.070001,0
KRT8,468.20085,304.669057,1130.606271,138.916156,1123.110931,2404.828273,540.872398,438.023735,510.868613,334.352603,543.203744,671.176444,841.182882,890.718026,262.154109,560.773611,810.242248,245.718734,194.190018,292.249406,741.24831,1629.743326,194.682355
KRTCAP2,105.702487,62.242844,445.515496,326.946613,217.78406,173.985507,241.69849,315.993395,356.827146,423.083388,506.078079,302.28465,159.90707,1061.378493,473.776751,613.774481,303.881373,237.705406,182.523336,228.82368,193.440688,420.573602,759.414772
KRTCAP3,0,0,9.416034,49.803113,0,0,0,0,0,0,0,0,65.477127,19.835401,0,53.873613,39.1958,0,0,1.378799,61.925307,0,0
KSR1,8.368284,14.778181,6.656588,1.993585,0.147785,0.747345,6.551145,11.895904,0,0.596822,1.313042,0.720284,0.789236,1.790998,0.566744,2.3208,10.927147,0.117638,11.900646,0.368067,0,0,0.959276
KSR2,0,0.050078,0.188689,1.30308,0.746034,0.017644,0.131752,0.143545,0,0.015123,0.021882,0.380008,0,13.943915,0.042735,0,0,0.043954,0,0.046927,0.022267,0,0.107741
KTN1,1126.158575,507.697267,122.224963,1216.166305,703.7207,29.123129,261.925738,1025.375664,215.185781,38.59969,310.093543,798.787549,35.92928,234.478034,117.726591,125.210999,262.344884,114.05931,379.119118,236.329494,65.535265,56.159002,624.114892
KXD1,48.435927,5.227804,92.454047,117.527677,109.805033,44.13158,69.794068,90.982326,88.050222,21.571676,77.119706,61.854693,12.512944,24.688153,84.282193,30.993673,24.413079,28.765094,120.342625,0,54.557888,88.844365,25.242306
KYNU,13.458119,1.972159,1.104114,2.707521,74.076794,1.730624,48.814008,1.488876,1.309482,0.639412,0.440236,1.830022,1.825612,3.590493,18.222721,0.219647,5.647385,49.037384,1.75502,11.55954,0.78,0.057044,4.745809
L2HGDH,10.240847,6.900242,34.599368,2.228067,13.072725,3.111594,6.152589,1.662329,1.268058,0.12132,0.777761,0.573873,3.565472,2.070148,0.674618,0.472415,1.456078,5.693285,0.784639,6.962429,1.128768,0.076279,0.381574
L3HYPDH,5.018075,0.899696,29.058683,7.143452,0,12.788144,8.125731,18.037068,3.035589,5.006235,121.382314,0,3.03383,9.607214,82.560563,17.113341,42.989849,13.138161,1.565839,2.306588,43.933109,0,2.300723
L3MBTL1,0.190012,0.503636,4.049531,0.970336,1.021031,0.107691,0.141406,13.830979,0,0.476241,4.252181,0.438163,1.023014,0.256897,0.891621,0,0.553712,0.177092,0.422577,0.163871,1.378243,0,1.682601
L3MBTL2,14.121773,7.219748,56.835268,2.118474,4.267578,3.74835,0,4.647599,0.643139,1.684906,0.534635,5.405819,10.745082,0.151754,46.482189,9.567079,1.653989,54.74775,6.404591,0,5.439061,1.385775,125.266938
L3MBTL4,0.183902,0.565303,0.076226,0.11884,0.31857,0.299193,0.191964,0.197392,0.227487,0,0.089361,0.068335,0.294706,0.206279,1.318024,0,0.190502,0,0,0.282694,0.380078,0,0.234725
LACTB,43.215312,0.130784,3.160043,0.106874,0,0.22869,1.390104,118.151414,0.137452,0.094186,0,0,1.158929,23.788446,0.888423,1.872427,51.069098,0.592547,0.152686,0,0.156444,0.070382,0.35506
LACTB2,13.035963,6.055826,149.468141,133.753298,44.228362,0,100.388825,116.713151,63.880039,43.110553,0,162.186876,65.696854,1.392019,32.247489,7.257586,0,12.488068,0.416606,0,3.705871,152.973389,141.69591
LAD1,0,0.67052,0,0,0,0.720509,0,0,0.725155,0,15.546874,20.254981,0,7.636001,0,0,0,0,0,27.019075,19.076769,0,27.012583
LAGE3,320.586625,0,161.629996,240.753054,262.288005,295.39988,80.960546,37.475089,403.127994,177.459381,264.705882,280.88596,301.144559,128.496789,82.601396,346.151502,260.582172,124.240523,11.838173,130.467825,0,12.96288,308.58241
LAIR1,0.214932,0.524245,0.512441,0.097344,0.240857,0.132384,1.362869,0.314987,0,0.113834,0.941108,1.465938,0.207979,0.251316,0,0.132995,0.196249,0.536008,0.299716,0.324971,0,0,6.758726
LAMA4,5.741688,0,4.712543,0.113522,0.375846,5.666459,0.989008,0.10958,0.093445,9.90784,0.307094,0,0,1.585911,0.745194,1.510013,0.79421,5.085154,5.323515,1.864749,2.404493,0.064132,0.717002
LAMA5,2.540714,0.968601,10.834892,39.768643,0.587516,0,10.580463,1.393638,10.77444,0.978745,13.726932,0.786157,0,2.694154,41.484866,0,0,0.137621,1.742194,11.678491,2.938715,0,0.475478
LAMC2,1.114304,0.220221,0.844411,0.087828,0,1.272478,0.10286,0.714141,0.078049,0,0.29171,0.107813,0.073775,0,0,0.240928,1.451063,0,0.316342,2.191994,0,0,0.124933
LAMP1,24.276506,1.722176,1.841749,0,0.208133,8.36794,6.70686,0.267169,58.029018,0.962217,0.78743,18.30275,8.100383,0.757127,8.2808,11.082115,0.545655,1.044017,12.735039,2.119381,0.085074,0,3.918397
LAMP2,119.363274,75.14063,347.493873,197.676954,215.132943,283.216276,476.713057,216.318098,244.133638,58.337224,469.720905,147.663398,340.211924,457.238317,170.321702,231.532019,91.143515,46.322183,506.903511,28.674831,104.758901,1153.691078,66.580798
LAMP3,0,0.57994,0.254542,0.094188,0.475653,0.171686,0,1.106047,0,0,0,1.006672,0.590652,0.81943,0.922164,0,0.830445,0.223104,0.441292,0.843993,0.524188,0,0.482322
