genes,SRR2973353,SRR2973354,SRR2973355,SRR2973356,SRR2973357,SRR2973358,SRR2973360,SRR2973361,SRR2973365,SRR2973366,SRR2973367,SRR2973368,SRR2973369,SRR2973386,SRR2973393,SRR2973396,SRR2973397,SRR2973400,SRR2973404,SRR2973409,SRR2973416,SRR2973417,SRR2973433
A1BG,9.355558,78.231539,4.725164,23.215224,25.652418,43.51946,29.11938,14.976967,13.554201,0.964301,18.07338,7.665218,30.873786,19.63373,5.055967,26.460552,13.422856,2.47176,23.031162,28.751444,17.142695,0,6.443196
A2ML1,0.739235,3.2655,2.291002,1.784338,0.391838,0.601905,1.733751,0.346661,0.102166,0,11.39078,1.00E-06,0.117324,0,1.289869,0.126524,0.187469,0.301152,2.134922,0.630475,3.237231,0,0
A4GALT,26.25896,29.104749,16.573387,28.857254,5.770684,60.875826,10.968769,23.919809,10.542132,17.312896,36.859044,22.655997,6.626367,19.313182,17.895029,3.426708,7.691967,18.559145,5.130407,6.693911,38.923817,0,22.397236
AACS,42.619363,43.843605,122.721794,82.300758,28.304312,76.872493,16.334091,26.134965,89.333678,5.356512,6.001361,38.010397,59.366108,5.473023,24.9148,30.355979,140.156322,17.647579,18.646253,61.224186,9.161914,1.969702,41.192312
AAGAB,5.598177,6.649385,3.75541,0,0,0,0,0,10.102329,40.759997,0,0,5.435995,0,22.88549,15.79833,2.044485,3.147599,2.665491,2.173097,0,0,0.481663
AAK1,1.599101,7.145317,13.298977,5.413034,20.938209,1.28714,53.249459,57.932546,26.478561,2.877343,50.771623,28.555336,7.719069,3.807104,1.596453,6.285111,2.971743,2.588956,19.583477,17.417246,5.82438,0,3.782064
AAMDC,35.81345,127.161054,97.346936,25.252255,22.620566,88.560626,80.179873,4.649011,26.530438,0.669941,3.994696,9.727459,219.858019,200.299958,22.676778,4.801418,176.704163,36.9787,8.744259,40.266408,57.634281,0,65.378935
AAMP,0.691178,0,70.210538,35.461076,57.007198,0,74.431059,186.0378,49.170669,2.279905,5.956971,0,49.168395,13.613613,45.841803,41.542839,0,1.452325,0,1.470692,0,151.148918,0.823291
AAR2,1.117847,2.991353,4.478344,0.503884,41.46985,2.686433,3.417058,20.075403,3.562926,3.295258,0.38637,0,41.507504,1.719987,40.372654,6.583159,7.879188,22.794052,0.524326,0,1.469358,0,1.641463
AARD,4.162676,114.226985,0.561603,1.917987,2.205665,0,0.183663,0.547934,2.977412,3.733672,0,5.541647,3.333418,8.808373,2.485955,0,0,0.827003,1.137235,35.442219,0.11344,0.095864,5.118427
AARS,28.649672,7.234183,21.773186,150.74434,13.878526,4.279621,7.921231,3.777216,232.36663,2.634785,3.868566,1.580472,99.844741,2.799992,6.478782,99.531852,4.32019,73.515392,14.957942,68.663446,0,13.072285,4.550672
AARS2,0.977459,0.341685,0.106082,0,0,0.120259,2.503994,0.438246,0,0.647528,2.147109,0.472288,0.129024,0.277994,0.703862,1.596813,0.957303,0.387298,53.364867,0,1.844696,0,0
AARSD1,461.849607,76.354067,48.7194,188.532781,44.695794,349.375232,73.182771,153.15027,321.86065,227.804952,142.453752,64.850849,64.928839,52.444752,174.63184,449.384678,35.797026,101.13355,52.513554,421.204014,176.062082,278.115991,187.123288
AASDH,17.374456,0,0,0,4.887148,6.172732,2.779128,0.363456,0,0,61.299777,0,1.388703,0,0.323256,0,0.094448,1.894444,6.51463,0,0.51867,34.915255,35.401268
AASDHPPT,53.036286,37.123017,138.260049,85.326086,36.725231,12.688177,95.76586,0.199183,1.512111,1.021336,135.186934,86.714871,42.579333,170.479593,15.47095,80.877984,37.8316,86.783392,5.071628,18.279664,8.761558,92.920571,169.815917
AATF,0,0,0,58.477726,0,0,0,7.098543,145.384833,165.698731,0.194068,0,0,0,0,1.664324,0,2.002831,0,0,0,0,0
ABAT,1.979195,8.499759,1.191047,0,3.278518,0,16.596012,9.57365,0.45746,68.565717,2.973722,8.819598,0,207.218141,18.399761,1.295683,6.778686,50.773757,3.963269,5.179975,26.266952,0.762522,6.240119
ABCA13,0.101374,0.165742,0.133654,0.126362,7.069501,0.074207,14.49735,11.624908,0.073378,0.062494,9.851668,0.070754,0,0.813992,0.082145,0.247439,0.073239,0.105079,0,1.127591,22.426779,0,0.341473
ABCA5,21.388014,0.277104,0,5.378803,23.238394,99.829679,36.903048,10.862369,0.076402,19.343989,0,42.969192,9.233967,35.25873,2.54296,0.575624,41.741433,8.731511,20.818181,0,0,0.087613,3.159295
ABCA6,2.802582,0.162151,1.208047,0.086234,0.48345,0.248234,1.187436,0.074318,0.081816,0.363202,0.462174,0.12594,0.131486,0.031826,2.409795,0.368773,2.43959,0.069674,0.040909,4.846063,0.211914,0.031287,16.051462
ABCA9,0.255484,6.540247,0.917394,11.811467,3.223517,11.791506,5.799375,9.080222,0.110908,30.414373,0.536649,2.428293,2.993196,0.102633,2.508444,9.076758,52.955134,1.053964,12.269753,2.684686,24.156743,0,0
ABCB7,113.902796,16.216159,58.258178,1.223055,197.840578,3.450173,3.177026,1.669436,11.985435,0.477179,0.536321,109.005934,1.908326,44.45036,0.24808,13.120414,200.01835,6.594861,10.434702,263.372922,0.767994,11.889413,12.121124
ABCB8,0.357106,5.391356,27.121991,0,1.751486,1.561636,1.450022,0.322497,0.679694,0.111555,120.827538,0.170208,19.70147,41.030033,0,4.117375,116.789434,0,0.187873,19.520804,20.905855,0,0.138541
ABCB9,17.263223,0.722527,0.191862,13.509041,17.964007,0.926936,6.643052,9.387535,33.379401,2.874952,6.283273,11.069627,11.491057,0.950417,3.842971,20.456521,0.336261,11.974722,7.449622,4.947577,23.438843,0,1.455686
ABCC1,23.739365,0,0,0,0.282167,0,31.189505,1.750112,0,0,0,0,1.2666,0,0,0,0,10.604215,3.15571,0.410602,0,0,61.813761
ABCC10,10.244265,10.471845,0,1.440316,73.105429,29.835405,0,11.469352,4.049272,9.559993,0.356282,4.613989,7.744213,2.208298,15.226706,9.156994,0,1.011931,38.734784,30.958593,2.451707,0,0
ABCC3,1.450585,2.883187,62.65739,3.880723,2.654412,5.9522,0.419381,6.394989,4.792929,0,25.201749,38.505789,9.610998,10.299688,33.984796,0,15.939851,0.920049,3.19872,4.988589,0.846289,0,15.373564
ABCC4,19.87264,3.457465,0.311406,0.108686,0.048922,0.495704,4.174327,0.643643,6.112668,3.847525,0.179892,10.107516,0.084518,0.231174,13.263176,7.037127,11.202037,0.111328,0,1.07627,0.247912,0.030465,0
ABCC5,4.149456,197.311744,1.087581,70.837479,4.526605,0,59.43401,1.869124,4.534585,0,17.338799,6.938268,74.943923,0.22108,24.794839,0,24.104945,0,0,0,0.425577,0.117654,36.756354
ABCC9,2.754844,1.293906,0.99175,0.893004,0.791263,0.243917,0.325403,1.873955,5.175578,0.682566,0.071722,1.246392,0.623988,1.126321,1.426433,0.099787,0.22261,0.718056,2.239426,0.531148,6.843757,0,1.36944
ABCD3,97.93934,100.209341,35.611519,3.178263,155.270821,16.78497,16.66752,318.796075,34.021169,0.181377,8.337877,117.414584,201.621628,52.36267,0.978647,54.641275,63.448036,36.110709,36.336185,22.512872,7.965237,0,6.078766
ABCD4,15.058058,204.377173,35.380941,0,2.371858,104.546178,7.611761,5.741474,18.336173,2.875082,0.383278,14.872715,1.307882,0.411852,1.867419,75.642266,0.554729,1.716876,0,6.054758,30.51939,0,32.028885
ABCE1,34.749275,28.284607,40.663633,121.236159,91.129683,85.87068,0,0.237967,39.303547,0,155.866763,24.30901,100.732037,15.212579,42.595802,12.09606,1.206472,194.143683,17.001705,2.828394,2.045231,33.9272,0.104389
ABCF1,145.735597,195.166657,183.350081,49.986201,146.297206,16.78173,36.109346,187.745208,157.55869,34.497057,227.789743,115.90806,89.257688,80.59534,18.531052,227.313086,274.251336,85.175105,82.106437,34.367172,110.40024,181.635923,86.320024
ABCF3,31.473982,0,0,0,2.342638,155.849858,30.950796,17.751639,0,0,3.245506,0.325145,19.301558,4.327548,17.689639,0,1.427489,18.19927,138.906415,7.781378,15.729233,0,10.510764
ABCG1,1.153255,12.495058,28.06669,0.924113,2.579297,0.417168,1.230572,8.457311,6.314072,0.247097,0,0.876105,13.701802,14.655807,0.392361,0.860384,3.7992,0.095729,3.280409,0,4.395817,0,0
ABCG8,3.646967,1.119652,2.458426,4.268746,3.761547,1.382863,3.168056,2.441783,0.830825,1.355443,10.488627,0.381389,1.914335,2.184772,3.147086,0.885157,0.287011,1.210036,0.849738,2.098586,0.450192,0,0.160874
ABHD1,0.942794,0.909281,1.253035,0.239634,1.399217,0.602864,3.277118,0.403984,0.1123,0.229359,1.458453,0.250268,3.894287,0.441137,4.809286,1.710887,0.384529,0.906576,1.693111,0.400559,0.46311,0,0.972691
ABHD10,0,16.690419,0,39.112527,0,0,2.235242,11.123989,0,0.816031,0,0,0.88852,0.1135,2.701484,4.790982,0,31.074725,5.63062,0,0,0,0.854762
ABHD11,8.374553,157.317404,27.87004,5.257085,67.180017,3.810342,75.381964,159.640324,31.276984,31.60648,57.30987,2.14826,8.578796,4.40541,86.898522,49.39777,2.312788,0,27.811993,26.860326,44.119721,0,1.016464
ABHD12,0,34.195842,9.34646,35.621625,2.105502,0,0,0,0,0,0,0,0,77.19933,18.47946,32.6492,1.755208,0,3.197283,0,0,0,1.836402
ABHD16A,20.128214,0,87.655165,0,0,0,43.414845,0,19.30181,5.901777,0,38.982207,14.154806,39.55529,15.463065,58.602304,0,43.779622,0.845801,83.247481,0,80.070778,102.899605
ABHD17B,1.546512,57.005004,1.429612,10.375243,0,0.245924,2.129742,4.443575,7.613653,0,0.428069,0.518934,0,0,7.175073,4.284082,0,23.574765,1.478859,0,3.911304,0,0.749623
ABHD17C,8.087132,7.302985,24.967561,2.279773,54.195297,0,0,14.319423,9.610784,0,28.324103,94.472523,24.415545,72.349564,0,14.129204,0,32.070922,0,0,0,0.094488,0
ABHD18,0.30071,0.374918,1.105317,1.052602,1.058144,1.563272,0.777623,1.170348,0.373505,0.595915,1.865463,0.892211,0.632368,1.414891,35.195259,3.434453,51.277366,2.209208,3.471504,75.855967,0.806972,0,0.311077
ABHD2,6.312355,2.844547,0.034814,0.047289,0.383156,0.152084,1.203995,26.739816,0,1.688214,1.849849,0.187549,0.059552,1.426041,0.442325,0,0,4.724696,3.237035,10.720461,0.09307,0,1.875602
ABHD3,130.845384,10.26204,123.485382,223.187668,23.735282,224.343807,50.994797,47.742604,21.787997,0,0.212574,5.225792,99.607842,0.166362,39.549617,0,57.607313,12.544587,0.413754,0,8.000178,0,30.776048
ABHD5,25.097467,10.836434,18.44079,10.887589,2.63116,24.939743,23.914938,101.175963,55.663029,0,17.695703,1.213315,43.272738,4.464438,138.45099,41.80472,273.235179,10.995643,65.470615,218.956685,14.571757,31.947886,78.805525
ABI1,117.793667,75.024182,64.473737,48.781075,52.33988,0.193868,144.661257,47.614509,24.514802,19.955573,0.483308,31.981726,80.586378,72.637942,13.993209,42.424375,11.614459,47.353923,68.21513,46.625483,14.087654,0.124761,3.578126
ABI2,8.94502,35.033291,24.189426,0.535898,213.906858,23.298856,6.19289,149.034026,1.717699,27.320336,4.267566,2.998762,66.088111,19.065466,7.193712,19.187603,37.527634,0.318592,59.337069,24.579567,5.325569,0.762523,88.952163
ABI3BP,0,26.6612,0.075148,4.097383,0,0.301514,0,9.051474,9.350286,2.322622,1.292814,0.085305,9.114089,5.689653,13.323701,10.633097,7.411572,0,1.320487,0,23.217434,0,6.40529
ABL2,0.295426,1.224646,0.423482,0.0446,55.892828,0.228837,2.909949,3.217377,0.821808,5.447063,0.025846,11.434648,1.440758,0.416984,9.034853,8.223484,5.212366,2.300528,1.909788,5.554174,0.165785,15.143802,2.607429
ABLIM1,97.465724,15.207317,12.244928,4.89224,85.098067,0.040146,3.279734,0.181451,22.563525,0,4.693213,97.742705,128.720813,40.027401,15.335823,0.04191,0.57015,78.420828,46.096051,46.732781,0.733434,2.287567,21.134356
ABO,3.622551,4.312129,3.879057,3.156851,0.318518,0.099751,0.123785,3.243038,2.175722,2.545808,0.305595,0.758049,0.38152,3.746743,4.860077,0.921327,3.536076,0.466871,6.209522,0.468011,0.806621,0,1.005066
ABR,3.395209,0,6.886454,7.04931,13.804691,4.469121,89.514165,52.692357,9.382047,8.40923,0,7.27986,0,1.306054,5.908239,13.455898,4.762751,2.395033,0.944164,0.712208,12.902217,63.923859,8.544488
ABRACL,21.629289,353.256694,325.915548,0,125.225088,158.936296,38.753806,22.779114,77.210012,109.236824,99.557922,130.933907,72.890281,184.652611,112.627098,95.78157,207.061816,225.382659,60.94583,100.493824,0,0,0
ABRAXAS1,9.866355,14.876043,24.020862,59.981937,1.819429,3.712791,57.986777,6.641443,8.226055,1.879471,5.896979,8.658147,1.596866,10.144737,12.249358,4.791028,3.708917,5.408962,14.005661,5.319625,4.186668,0,1.423241
ABT1,40.776018,45.961368,31.323304,0,23.402055,0,4.7055,0,0.094792,137.128358,0,0,2.216215,9.437787,0.832204,8.109796,2.392497,41.4503,0.142779,0,51.277484,77.533123,0.075478
ACAA1,2.797429,41.901408,0.124298,39.074054,0.201181,3.797422,48.629728,3.956963,72.623794,24.168597,53.032664,1.041158,1.26446,1.577627,3.293615,0,2.103624,0,173.650312,14.489405,0.450416,0.200603,3.106114
ACAA2,2.453955,18.186803,22.329201,12.625876,70.160527,167.569686,32.311404,24.218686,128.098044,16.697085,8.128763,11.480024,34.219142,55.722609,41.219808,45.478934,246.41899,29.40712,0.318926,6.865271,4.015771,300.905559,242.91091
ACACA,3.638162,0.427286,5.388809,1.105094,6.358528,0.372021,40.238987,258.481466,8.350979,6.349351,30.920297,99.774443,3.445009,4.239722,72.569466,6.39043,0.324492,7.019215,11.830306,6.166968,1.258137,0,124.504095
ACACB,21.018377,10.970251,42.287169,29.697323,10.543913,7.883215,90.753609,21.250373,2.446735,0.162177,12.486095,0,13.540341,4.304702,50.599896,11.28342,16.916951,6.769985,2.950956,1.432326,194.264735,0.086019,3.038711
ACAD10,11.860155,2.900775,34.20702,2.557099,1.124151,13.779754,7.875343,47.356491,3.686686,2.069963,32.384266,0,1.043179,7.87167,2.182272,26.317273,0.944019,3.067227,1.259108,2.267821,11.302273,0,3.529102
ACAD11,0.492111,0,0.906431,0.968007,0.288643,0.846702,0,0,0,0.537812,1.404595,0,0.088834,0,0.915366,0.764397,1.21832,0.078057,0,63.272839,0.118948,0,2.299934
ACAD8,0,0,0.526921,0,0,0,0,0,0,2.356797,0,0,3.954716,0,1.772989,1.411761,1.782055,46.573161,2.840176,0,0,0,7.842715
ACAD9,0,29.557297,0.65242,0,0,0.81098,0,11.006092,0.663176,4.048172,5.980466,0,4.837369,1.330732,39.037412,0,51.33969,5.534427,0.628372,0,51.968997,155.976059,0
ACADM,103.755025,1.301081,5.229391,108.858635,23.057849,0,6.709395,29.251901,0.524587,0.255709,1.236792,0.620936,63.854023,1.982002,86.495636,0,2.689129,60.808426,0.346034,32.871258,2.754235,0,9.384875
ACADSB,187.147379,21.506729,4.953165,139.645396,44.313439,1.772205,140.840036,0.64484,55.273617,2.261618,0.278964,43.344787,10.090787,27.097134,11.304938,34.065074,151.418347,10.07941,0.968158,17.189102,1.170708,26.254917,65.687253
ACADVL,0,0,0,0,0,0.624046,14.846307,0,3.636899,0,49.387402,0,0,0,6.112703,150.703807,0,8.831169,2.67814,0,3.187981,0,9.150294
ACAP1,23.529447,6.759566,0.126945,2.679482,115.958859,25.137514,13.332641,23.424606,12.948197,4.999956,4.356782,0.400641,13.081127,0.619092,10.397336,2.348947,1.433847,1.078454,16.339947,15.192347,5.099406,0.528166,4.003238
ACAP2,54.646372,85.977872,3.170434,114.832868,28.663927,3.643031,153.655428,4.108243,6.179862,9.868258,1.020989,0,100.732725,49.470008,93.586167,1.139827,142.180003,83.44952,6.538236,182.415133,77.075575,5.659547,9.053226
ACAT1,67.482471,116.495862,68.892799,257.266466,146.519292,156.991861,128.125802,71.44947,38.675931,85.209439,2.687541,151.272835,149.076118,41.858812,48.249897,110.190496,49.452979,39.390906,75.660916,223.215191,168.244054,0,277.632141
ACAT2,12.646997,0,0.162873,0,0,0.103316,26.839214,0.50151,55.281961,198.614162,42.149508,0.585369,97.205693,0.182397,113.851593,64.757757,0,38.727515,0,1.52652,91.760915,0.556343,166.963858
ACBD3,2.113178,27.563088,62.886727,6.592692,10.447691,12.452198,27.789839,11.793596,5.351002,0.602569,27.351581,1.002473,2.03203,19.327587,6.129794,10.622249,0.356679,3.362269,104.499339,2.87315,0,66.148624,14.170706
ACBD5,10.045772,14.341595,155.682611,51.012496,31.822866,91.830153,31.479454,9.079261,65.612947,126.942865,142.738947,0,9.232723,4.949981,10.556517,75.047812,0.830655,16.818686,65.607973,0.180702,40.267606,51.449989,10.05577
ACBD6,12.278879,0,76.213016,3.125037,15.781868,7.958093,45.153145,0,8.49875,1.390491,131.075242,0,0.689549,18.042543,36.537871,23.881479,17.854257,39.242479,14.744148,132.648505,101.819534,0,1.488378
ACBD7,0.349326,0.568341,0.70774,0.257809,0.27103,0,2.229188,0.250434,0,0.231549,0.513538,0.258563,0.687275,0,1.440116,0,0.242968,0,1.042677,9.14643,0,0,0.496832
ACE,17.338158,9.515408,8.898019,3.715878,25.071312,48.776843,29.184469,3.178328,21.319386,1.226113,1.616383,32.232006,20.696686,2.739054,16.67999,17.987091,0.90481,0.375749,26.621719,0.54802,19.814493,0,2.690158
ACER1,6.02109,10.166255,21.050239,1.584761,0.325397,12.194945,7.861147,10.023822,0.302777,0,0.748804,0.331203,0,9.208131,0,0,1.098643,0,0,0,0,0,14.402067
ACER3,62.780906,0.803802,14.985287,0.197387,19.386939,15.905161,0.954011,0.089161,147.738965,0.250695,0.458882,156.912541,65.960094,1.817205,6.525847,2.336982,24.293542,0.122601,1.862977,0.358405,0.084849,20.303364,98.878403
ACIN1,51.092246,26.901484,36.780536,35.4288,31.625409,33.64204,4.238359,3.146971,31.989297,7.79323,16.09372,59.133148,21.113655,5.073155,26.489221,15.498653,26.883343,71.961057,75.861592,6.783861,23.660692,3.373643,27.210984
ACKR2,5.055533,3.8204,4.522512,0.405063,2.359803,4.240601,1.239364,1.212542,1.317304,1.402456,2.936967,5.773944,0.835555,0.792641,4.823495,0.323017,5.227031,1.276741,3.719397,0.983197,1.375206,0,1.750503
ACLY,54.329188,43.629231,140.886988,59.788571,58.721929,46.886258,35.577507,91.051894,96.657147,64.123524,73.729272,23.158704,185.217128,55.005583,82.374673,25.712083,1.344563,48.32609,51.11078,65.819619,174.447918,82.390546,33.783716
ACO1,0.219357,0.577657,30.799677,0.385703,0.402152,59.445926,0.643749,0.791004,17.987503,0,1.394417,0.045318,0.221691,0.500154,0.048328,17.528384,0.289109,14.049978,0.05906,0,0.288249,5.028758,0.031508
ACO2,69.528403,0,20.769889,0,98.347243,52.046362,54.693944,0,0,0.142364,0,6.501188,13.198881,16.584533,3.793182,11.789956,8.056948,118.333676,60.753063,3.107326,7.984614,60.736379,1.254977
ACOT11,1.692696,2.155272,1.363447,0.598065,2.172394,2.458546,1.571893,2.522074,0.505312,5.561546,2.044763,0.696251,1.492486,1.833375,0.939354,2.597306,0.238327,0.64157,1.285767,0.985844,2.733171,0,3.321572
ACOT13,7.874139,146.51588,140.577536,112.760445,47.186301,50.329292,31.325041,3.660544,119.366539,155.053075,79.88872,85.399002,107.090962,52.121178,69.801226,137.125152,51.791025,34.713537,3.591997,1.91146,26.104013,52.693934,29.032832
ACOT9,3.428997,10.476502,27.477567,2.407418,84.066035,0.640326,4.777062,2.373269,3.705681,2.260822,0.374553,1.959936,2.613251,16.34192,1.132041,47.461895,283.222327,0.731102,75.877551,2.054672,16.977407,89.343271,7.862927
ACOX1,8.095964,52.951601,28.206155,71.102273,76.784365,111.110766,84.121157,4.144414,10.268345,0,49.621269,239.395528,55.754451,19.826456,3.059463,30.637721,0,9.245052,53.772061,4.72699,87.143082,0,16.228617
ACOXL,0.312476,0,0.712452,1.454909,1.185013,0,0.455646,3.193553,0,1.243404,2.631184,0,0.568032,0.238089,2.12871,2.18198,0.723372,1.381828,2.025159,0,2.224165,0.738026,0.163452
ACP1,259.557596,89.329522,171.069454,25.375288,382.304539,392.545478,551.027406,232.375672,140.389923,276.221383,483.353511,234.010135,1021.113932,431.218052,183.723193,325.19961,602.7379,472.704633,182.847416,76.093175,24.31207,813.27543,462.107996
ACP6,1.473035,4.266819,277.524832,0.038537,1.171319,5.790622,2.275487,0.174567,4.523201,0,13.522622,250.471264,0.221193,0,2.414143,0.078441,0.308787,4.583455,1.080621,0,1.37563,0,0.973196
ACP7,1.717502,1.701124,1.043766,2.504694,1.181063,1.714087,2.091474,1.657548,2.067567,0.400641,1.785157,0.255017,0.449324,6.535391,0.83932,1.873126,4.745059,0.279273,1.612637,2.841496,5.115384,0,2.598485
ACSBG1,2.818519,0.209787,24.901934,0,0.526354,2.572352,3.431706,0,0.207906,1.465062,0.07212,0.057297,3.03612,0,9.37374,0,11.044056,0.750321,0.48219,0,1.199163,0,2.552434
ACSF2,0,0.928263,0,1.420221,0.626404,6.807707,2.323339,64.815616,0.32791,0,0.832158,0.872286,4.31892,8.293332,45.479401,197.991213,0.768624,0,2.701049,2.646381,3.246065,0,0.490669
ACSF3,35.254543,1.236458,6.266569,0.113187,2.853623,0.281827,0.295111,0.37082,0.310501,3.902059,1.542366,2.55298,0.475581,5.205414,5.318214,0.094688,0.252499,0.357474,0.510305,3.403868,13.667134,0,2.293598
ACSL1,0.125079,0.939178,0.329768,1.791241,0.320763,0,0.570875,0,0.183124,0.25362,0,0.330851,0,0.590556,13.115986,0,0.119041,1.636078,0.664494,1.151499,0,0,0.817148
ACSL3,39.056662,104.661678,96.240965,164.82752,21.470202,193.414997,9.307703,139.101364,185.824201,25.412403,163.117733,235.48502,108.257097,116.454671,83.114766,342.134829,307.614799,65.47312,140.996138,11.088646,327.113352,1.144187,99.612577
ACSL6,0.107074,1.249442,0.156726,0.241091,0,0.048357,0.363583,1.043181,0.092515,1.155375,0.361442,0,0.237387,18.537097,0.65577,0.043742,1.082526,0.077202,0.058654,1.45991,0.282886,0,0.426723
ACSM2A,0.135763,34.706572,1.082694,9.577944,1.671071,0,0,11.083146,3.831324,0.170571,0,0.467976,2.871137,0,6.666056,0,4.151883,0,20.94295,0,2.064444,0,0
ACSM2B,13.637911,0.00012,3.788508,0.281928,1.22584,0.424573,12.529446,0,2.211838,0,0.115228,0,4.25311,1.373785,6.081757,0.990658,0.238442,1.363797,0.348815,7.760432,12.76025,0,0
ACSM3,15.444925,5.84399,0,30.02144,83.400266,0,25.610576,5.908811,99.596275,16.40346,6.15915,2.392869,218.947758,0,1.919811,11.551314,1.851397,14.413423,42.672734,2.923092,41.090896,0,0.606969
ACSM6,0,0,0.556239,0.29859,0.486364,0.349432,0,0,0,0,0,5.411393,0,0.342271,0,4.139455,1.412745,5.4247,46.507856,8.132348,1.791226,0,0
ACSS1,0,0,1.95716,0.781378,57.152638,0,5.233367,0,0.104614,0.469097,9.211077,15.227024,4.300653,17.122287,0,0,0,0,0,2.811249,0.971625,0,0.153031
ACSS2,0,16.108528,55.642821,11.25639,0,17.841771,40.436309,0,0,0.614345,17.828103,0,3.482918,1.762013,2.249221,0,2.780628,0.203047,38.196248,114.914547,86.838536,0.768296,2.07004
ACTA2,0,24.89779,0.506789,0,1.544404,0,0,2.854892,0,2.811361,0,0,0.785803,0,3.11268,1.753434,0.135352,0.437624,0,2.780965,1.094296,0,0.610138
ACTB,2758.984948,2233.999264,2185.879757,1493.921202,5440.483075,2315.631216,1640.571884,911.353671,1422.076331,3716.108685,1584.539046,1327.554695,3345.830366,1777.12754,3531.720417,2455.372468,2702.921944,3676.156914,4916.481576,2563.12038,4127.371668,9040.824301,809.798518
ACTG1,1714.872824,511.476527,1707.107757,834.33214,1640.303494,2422.610697,1069.451982,1010.855533,1169.572183,1276.399791,617.971647,436.635542,1448.986706,2043.024073,1831.952342,1709.439612,1750.285715,3975.781661,3573.136307,980.624849,1729.154267,3381.420768,366.291323
ACTL6A,4.110154,12.204771,312.078072,25.254957,187.926058,9.474542,8.521524,0,76.192851,0,47.38248,0.38498,44.294355,107.80093,245.474027,35.022063,5.373447,66.691193,0,28.691897,42.797549,111.44176,10.324503
ACTN1,30.698272,73.52934,38.676435,2.83018,23.491973,11.031428,10.560265,22.455394,4.023712,13.894926,8.679376,0.11358,39.297395,19.097593,3.11844,19.08424,207.24577,11.545838,86.424964,2.061578,2.370616,0.258158,4.711139
ACTN4,4.913688,24.419234,3.541155,1.864608,21.836404,31.102929,5.737821,2.555673,0.340432,0.782989,56.085025,15.195136,24.41664,10.220905,5.758242,60.382346,19.71484,22.72269,76.124327,17.759594,1.085329,1.165785,28.99832
ACTR10,53.715539,61.684206,66.901308,42.353424,5.243724,67.97677,35.914927,13.158511,170.662838,226.211737,57.112541,18.709124,9.883994,191.423516,16.194637,25.728154,49.737134,95.911806,47.310411,5.012787,3.396843,518.241444,217.318121
ACTR1A,5.03735,39.800516,3.70275,164.553291,80.558276,201.0377,33.129261,5.207874,95.020234,3.5236,98.31492,190.870093,38.028092,66.119208,3.546627,57.528655,20.312032,5.519539,11.424096,5.663647,7.879655,399.505752,36.772735
ACTR2,34.181127,36.116364,148.008684,19.356358,47.981192,82.589033,189.548275,37.52902,97.706792,2.235839,49.922476,84.777819,29.260855,25.271797,125.90867,79.354604,83.15481,162.194299,226.83104,15.018928,0.422162,109.45379,14.103082
ACTR3,259.523823,18.650776,105.149298,5.318909,26.557824,1.349442,194.637262,345.054778,11.402181,38.292706,1.873664,51.57418,39.767749,64.835191,263.572119,7.297933,42.977021,237.813369,159.78242,18.755583,0.789154,2.717532,1.144886
ACTR3B,11.340398,0.295127,0.378911,0,1.012175,33.940733,1.705968,2.263138,0.209107,0.078583,0.152451,0.124925,11.106984,0.273436,2.95904,1.262843,0.359698,0.24474,1.204846,0.064237,6.41506,0,8.65144
ACTR3C,72.018923,0.84842,0.173671,0.106482,313.855025,0.204625,12.69876,27.286224,27.126019,0.191773,16.907555,0,0.134766,31.170986,1.26871,13.591779,1.134404,6.376212,0,0.141276,103.36164,0,0
ACTR6,121.236924,41.049023,29.948658,61.161439,54.764633,82.8918,55.70811,76.841437,0.647166,44.574769,37.104563,172.359205,72.066407,21.460164,26.443518,87.025022,47.178835,23.542546,15.257842,4.376218,30.76248,8.174041,72.854551
ACVR2A,0,0.42574,60.110182,0,0.36244,0,43.741799,0.123738,0,9.299539,0,0,0,1.900081,9.631202,0,0,0,10.119588,0,3.187894,0,0.352404
ACVR2B,0.428184,0.237583,31.198059,0.210929,0.337366,0.086928,0,0.700378,0.065071,2.260513,0.026884,0.288226,0.120741,0.140406,0.55654,0.157499,0.148829,14.404989,0.692695,13.400414,0.708169,0,0
ACY1,4.514869,23.04193,35.52007,0.980002,48.051982,90.758076,2.34229,9.26557,183.523461,9.71617,0.756564,0,15.710937,19.853742,1.105486,34.972079,8.6286,1.873548,14.139098,6.379473,115.873218,261.504589,168.505583
ACYP2,1.853996,0.341462,6.724328,2.820553,0.418045,0.168375,14.619502,5.514733,8.238364,0,0.880344,0.721345,42.88924,4.418118,10.904038,0,0.199674,0,19.043511,8.567923,7.901124,0.491712,7.689593
ADA2,0.47377,0.147483,0.533364,59.669944,0.228384,0.157573,0.70556,0.142396,0.252631,0,0.288772,0.52039,1.23848,0.140009,0.756846,0,0.166776,1.818735,0.666007,0.322596,0,0,1.315452
ADAL,8.137408,5.963958,15.57059,13.901934,0.33667,2.024132,0.277179,1.384064,0,0,97.421242,0.307996,52.161744,1.017831,55.114303,0,20.986413,35.918479,0.190864,3.900893,35.531985,34.080845,1.567897
