genes,SRR2973300,SRR2973301,SRR2973303,SRR2973306,SRR2973307,SRR2973309,SRR2973312,SRR2973314,SRR2973315,SRR2973316,SRR2973317,SRR2973318,SRR2973319,SRR2973320,SRR2973321,SRR2973322,SRR2973323,SRR2973324,SRR2973325,SRR2973326,SRR2973327,SRR2973329,SRR2973330,SRR2973331,SRR2973332,SRR2973333,SRR2973334,SRR2973335,SRR2973337,SRR2973338,SRR2973339,SRR2973340,SRR2973341,SRR2973342,SRR2973343,SRR2973344,SRR2973346,SRR2973347,SRR2973348,SRR2973349,SRR5023449,SRR5023451,SRR5023452,SRR5023537,SRR5023540,SRR5023543,SRR5023544,SRR5023546,SRR5023547,SRR5023554,SRR5023557
A1BG,17.313735,7.370314,14.539607,4.500406,10.269205,9.902665,3.236426,4.349938,4.586926,18.387054,10.303874,0,4.078103,2.59959,3.133789,9.588988,1.980413,21.629564,14.048722,9.997991,1.274713,27.986427,18.556076,12.389895,2.019708,0.287295,11.986656,13.689686,12.366874,3.302823,7.557081,7.925217,13.376685,9.15539,20.914421,12.015734,6.653487,23.360597,3.56108,4.225292,6.201402,1.568029,0,0.161435,1.765685,0.167912,0,0.3654,47.540887,11.377596,3.135024
A2ML1,7.33368,0.383589,2.758092,0.180267,1.161581,1.267179,0.163909,0.469433,1.100799,0,0.329092,0,17.676737,0,2.27237,3.191035,0,2.325664,71.840597,0,7.65405,0.707748,3.53651,2.344912,2.645755,0.379065,2.904559,1.712437,10.461499,3.001533,3.209978,0.737876,0.597553,1.478912,2.608171,0.932378,0.572762,1.723074,4.251638,2.089842,0.077797,0,0,145.711628,0.091122,0.89315,0,0,0,31.236756,77.579817
A4GALT,0,2.116366,1.525947,0,16.543263,12.853869,0,1.259375,4.045161,6.078451,11.095485,4.053832,17.851403,15.661787,16.386937,5.942051,0,21.738963,19.004656,29.783017,0.937362,7.674139,30.827884,22.4763,7.962422,26.869294,17.455329,5.57973,15.181961,4.868069,32.55448,0,3.6935,11.537906,14.321394,44.97973,0,28.846673,0,0,52.914987,1.241244,0,0,2.706336,20.349714,24.981392,1.882506,8.336011,4.205573,0
AACS,97.417889,111.275546,30.248811,0.929563,47.716072,42.911952,12.31907,23.986072,153.533954,46.915496,67.766393,1.96171,27.374314,7.98562,14.837908,59.569721,10.583229,43.92753,33.166784,31.649453,38.023845,14.586766,171.103543,50.644003,10.65823,5.567202,16.067529,23.543201,71.976304,17.688641,33.73043,7.861371,46.027654,75.59076,83.63718,9.823232,33.674058,20.803019,111.072229,19.244848,120.29642,18.877821,78.001608,6.076509,25.112137,9.503015,26.918196,5.311244,2.083369,14.608379,53.25617
AAGAB,1.987434,2.023268,4.222924,1.929373,0,0,139.392233,14.104878,3.274367,61.191985,0,3.525894,66.43552,0,2.668275,14.813856,16.964454,0.218308,0.195469,68.085692,0.960115,1.992797,19.571421,1.937932,7.325873,0,0.208703,6.574761,13.692698,0.860142,0,1.370251,1.578502,1.362438,0,2.669968,3.795056,0,0,2.825283,1.327971,52.372797,0,13.651977,0.515735,0,2.284271,81.454062,0.549501,7.24666,0
AAK1,83.871503,1.457789,30.582395,7.74951,39.105193,69.396914,32.948847,36.728293,165.547195,15.73122,33.797737,32.622574,374.879099,8.363183,16.946413,60.809233,3.712479,4.987123,9.189448,13.162762,51.823425,16.305421,10.493068,112.668349,1.760073,153.508868,45.87646,115.082295,48.889545,66.729302,8.043988,6.143322,39.73674,25.903265,5.880357,169.494786,54.092109,18.89976,73.505808,105.246766,8.462256,751.031455,0.714931,22.478641,0.769628,6.430472,4.035823,1.093617,35.662869,0.640174,0.018968
AAMDC,277.00644,21.201111,102.508809,6.120158,35.083637,38.28065,148.493614,5.228229,3.696726,2.927359,11.130768,216.974171,22.650551,25.875506,0,86.870981,11.985132,10.088173,39.426108,196.958545,21.781135,32.492307,219.383181,13.586403,143.084075,30.383284,12.675723,9.808561,7.060831,14.081401,36.230337,21.218467,48.293667,35.852894,0.219382,60.939404,12.660815,10.372387,51.797451,30.137941,3.303055,16.719178,54.362865,23.873887,250.605846,526.371912,11.600627,57.109421,441.560782,215.501779,2.704394
AAMP,277.582018,3.923537,137.524892,0,42.422841,14.050748,31.831965,88.87157,5.387265,2.478812,10.381268,0,49.474896,52.111604,0.443205,1.367128,171.009962,3.167682,5.740615,0,3.249627,4.814865,77.418721,0.740698,34.214318,543.94167,16.238318,72.461424,0,47.307509,55.038147,37.552793,25.780702,2.152431,1.902661,8.155364,273.82506,0,0,170.962952,0,8.946651,0,0,4.809244,0,1.431919,0,2.807718,0,23.110008
AAR2,0.8878,0,3.077132,0,10.095297,35.816623,40.276142,11.772263,9.18625,0.441987,6.509759,0.228426,0,19.487541,46.4777,0.807145,1.545982,0,1.719418,0.850061,0.801436,8.256515,2.699962,3.048005,149.127453,0,17.519324,2.940347,0.549353,6.189582,2.870962,0,9.190626,46.251554,10.727041,1.412015,130.169364,0.265944,41.081536,32.428202,138.676535,3.876068,0.086555,9.041194,115.418413,0.753952,0.256145,2.378584,45.649888,1.272025,6.704892
AARD,0,3.510448,0,0.648488,0,2.452865,0,0.208441,6.805691,1.153819,2.654192,6.454051,0,0,0,1.090413,0,0.935574,0.700582,1.344453,0,0.549569,4.641891,9.165532,0,2.003674,0,1.807407,3.997759,6.661152,0.320475,0,0,4.761564,4.409208,3.70802,6.098348,0.455505,4.372256,0.280387,0.343928,0.590637,0,183.116967,195.794873,134.589448,101.429406,512.783674,109.311123,487.262236,204.656932
AARS,34.080088,9.622697,10.119416,8.823343,51.670192,33.98318,2.763405,12.981937,43.990761,22.236744,64.991569,1.009019,15.062623,9.435855,1.893272,23.449026,15.76051,4.08509,10.466939,10.666824,20.206719,32.182949,9.810915,16.338342,16.584491,6.044126,10.904089,19.019237,4.076728,7.922931,49.866986,113.227603,29.151546,35.076661,0.170427,1.355193,6.990431,151.743442,5.423349,24.286372,0.990461,95.469767,270.199983,0.523501,3.850935,0.653551,3.915396,7.12449,88.819929,3.912165,20.560488
AARS2,0.190989,0,2.463789,5.738256,0.892762,1.500088,15.200676,0,48.435008,1.221577,22.016218,0.487573,5.519758,4.092081,2.941104,0,136.863051,1.882248,2.598567,0,1.330883,1.000928,8.398907,0.351022,0.725579,0,4.077763,3.220641,0.247094,7.059288,1.787973,5.014733,0.315602,0.514441,1.489193,1.635226,0,0.197555,0,0.336217,0,1.926604,0,0,0.180028,0,7.984753,0.155006,0,0,0
AARSD1,83.961032,1.299488,1.416996,1.237953,3.783815,0.987069,0,36.246496,4.115692,19.719141,0,4.491239,0,1.962435,0,0,1.288545,4.176276,5.674582,0,0,20.836862,6.545919,9.523817,38.3851,2.627517,13.269438,145.964332,167.526863,5.725648,3.171553,36.003838,0,0.81034,7.539025,0,2.144437,1.328232,18.810011,4.488578,108.694505,0,1.407754,3.019004,218.459592,0.914149,7.504293,12.106358,0.821676,84.503609,200.26541
AASDH,0,0,44.277637,4.32661,70.655061,0,6.320718,0,146.977627,17.271801,78.550061,0,0.450815,0,10.041796,0,60.173703,0,2.420945,1.852434,3.252777,0,0.193435,3.069153,36.643874,116.829449,0,0,2.072375,3.552486,14.758217,0,0.42952,0,46.915811,0,1.78147,0,0,102.275312,0.255995,0,0,0,0,0,0,23.163677,84.888398,0,0
AASDHPPT,0,0,12.946094,0,9.161891,51.643443,65.38065,30.931547,0.51189,2.416638,35.83454,0.212095,0.313362,0.373702,119.93495,10.513647,0,225.688913,1.266814,23.162995,0.929704,0.152552,14.701846,4.711618,129.473134,0.923153,0,8.731541,0,175.113149,0,115.677952,18.417669,6.540755,22.269745,0.13905,136.294949,0,0.477609,0,0.101252,0,0,0,69.394535,0,43.790538,20.347941,4.704216,9.639047,22.093465
AATF,0,0,0,0,0.592075,0.485278,0,5.985927,0,0,0,0,0,0,3.384498,2.092563,0.371654,10.293348,16.59723,0,0,2.121959,5.101266,36.635134,0.324832,0,0,0,6.958266,0,0,0,24.096376,0,0,26.773217,6.440074,18.889508,0,0,0,0,0,44.272875,3.830707,0,6.363958,26.275999,5.597256,0,0
ABAT,1.251408,0,29.215554,0.509431,10.781689,12.275864,58.896839,34.220173,5.508671,1.665955,47.064231,0,1.095101,0,0.449759,2.860977,17.573025,4.670321,0.443762,100.190925,0,12.518656,23.005628,6.590095,0.481955,1.154441,0,1.852315,1.710312,1.046475,8.931102,6.796282,0,8.597638,11.540005,0.954535,0.634396,2.219801,0.340148,0.793321,0,1.728618,3.661327,0.201368,0,0.352629,15.691284,0.141978,0.100404,0,0
ABCA13,0.302234,0.957014,12.56802,0.097964,0.211961,0.584203,3.386632,0.109505,11.161909,0.086784,0.19639,0.251733,0.261221,5.509863,0.108527,0.086347,0,5.593298,0.124543,0.197581,0,1.360794,1.202744,0.148476,0.188523,0.364141,0.16461,0.088845,0.365711,0.113967,0,3.926556,7.595593,0.083353,4.427199,0,0.089647,0,0.118918,0,13.694151,0,0.597946,0,3.95754,0,3.077812,0,0,0.144672,0
ABCA5,46.184287,2.02202,5.755015,0,2.396252,92.129602,0.697631,29.013738,2.36897,16.045895,56.145294,0,2.131709,3.108573,54.847283,11.783577,0,12.088689,3.703156,22.694965,18.881798,4.178544,27.041896,40.599847,1.236229,0.29219,12.803061,0,0,7.341115,0,0,14.087767,31.767549,32.548964,3.744219,0,2.759638,0.578319,17.571962,2.091514,0.472809,0,72.83225,0,139.220744,0,0,0.858438,177.674752,0
ABCA6,0.387072,0.044269,0.045766,0.086884,2.070375,1.741303,0.611689,0.040373,0,0.154088,0.208159,0,1.161318,0.295526,0.28035,0.17842,0.218429,0.178851,0.592775,0.645471,0,0.238461,0.689536,0.191499,0.083358,0.035521,0.678144,0.262443,0.89565,0.346688,0.805612,0.235269,1.805047,1.144402,0.400293,1.132529,0.730557,0,1.498708,0,0,0.027981,0,0,0.261538,0.164026,0,1.101041,0.776211,0.318823,0.459809
ABCA9,22.631187,8.744709,3.970374,5.877623,3.9001,3.964349,2.048421,1.477422,3.580176,0.995378,12.778807,0.256299,1.243695,10.112857,11.564085,3.227997,2.597695,9.380014,3.766157,4.161495,0.843478,8.693856,1.293547,19.528014,1.330997,2.717843,2.194111,1.077536,6.840232,7.782834,3.033365,2.444103,0.463537,6.738556,2.4914,0.841558,3.98603,0.065196,11.082108,2.19467,2.057325,4.74316,1.472059,0.905826,1.181941,0.918971,1.577539,0,0.023038,1.973106,0
ABCB7,2.247353,13.015934,3.792102,0.206649,10.581292,31.618785,23.14893,15.65547,72.478665,214.074747,0.418555,52.17911,0.113419,0.166529,67.792931,197.786525,0.306941,12.080522,21.180739,0.158719,9.451283,0.13744,18.101523,2.025862,2.407211,0,3.596417,68.918946,0.689662,0.962629,394.675981,2.00222,1.974272,3.258808,0.13251,0.397572,0.450971,1.878473,0.677362,5.927863,5.794128,0,0.040303,7.250793,23.291556,0.156721,0.227088,10.566065,78.404952,63.72926,168.725316
ABCB8,0.49048,0.448611,0.478562,20.0871,0.181083,0,0,0,0.533766,0,0.230502,0,0.460064,0,0.273741,0.441273,0,0.871155,0,5.069011,1.688607,0.255158,0.805812,0,0.159198,0,0,0,0,0.749566,1.385031,1.757127,3.085985,0.18268,26.369905,0.252517,0.409806,42.802915,0.277248,0,2.407885,0.227252,0,0,0.201218,0.108252,11.297762,0.185444,0,0.168838,0
