genes,SRR2973300,SRR2973301,SRR2973303,SRR2973306,SRR2973307,SRR2973309,SRR2973312,SRR2973314,SRR2973315,SRR2973316,SRR2973317,SRR2973318,SRR2973319,SRR2973320,SRR2973321,SRR2973322,SRR2973323,SRR2973324,SRR2973325,SRR2973326,SRR2973327,SRR2973329,SRR2973330,SRR2973331,SRR2973332,SRR2973333,SRR2973334,SRR2973335,SRR2973337,SRR2973338,SRR2973339,SRR2973340,SRR2973341,SRR2973342,SRR2973343,SRR2973344,SRR2973346,SRR2973347,SRR2973348,SRR2973349,SRR5023449,SRR5023451,SRR5023452,SRR5023537,SRR5023540,SRR5023543,SRR5023544,SRR5023546,SRR5023547,SRR5023554,SRR5023557
ABCB9,24.086538,8.733934,3.738485,2.680979,152.458148,26.607701,1.247505,2.425692,34.277947,0.917631,1.905141,0.809441,5.27625,5.379919,24.086128,0.694204,15.176899,93.395626,5.002936,4.541984,4.442815,4.670945,13.819683,9.378443,4.986517,2.790868,20.787079,1.100882,8.067897,9.560841,23.754295,4.694321,5.7544,13.078368,1.024472,7.750964,16.729415,3.385272,3.742907,0,2.492027,13.149318,0,6.377554,5.775719,16.811619,0.107317,0,0.178843,0.724027,0
ABCC1,0,0,63.72096,0.096452,5.016381,5.947631,6.130753,5.598906,7.178871,0.372868,75.444824,0,16.312901,0,0,1.230968,33.985065,0,13.952182,0.686364,1.730606,0.859278,31.181224,0,6.811516,5.049702,0,3.355523,42.401906,18.711584,0,4.415007,5.310922,0,0,27.587643,0.593316,0,15.344392,1.713921,0,1.197766,0.161098,0.370062,0,0,0.037061,0,1.204688,1.986704,26.705669
ABCC10,1.80E-05,10.466996,0,1.929373,6.788666,18.378564,11.254338,0,0.915264,4.366505,6.804879,0,11.276257,0.894823,38.003453,7.500787,1.423957,0,0.550578,0,3.388726,89.275077,11.77329,5.845901,0,6.739359,0,144.164401,0,0,0,0,1.863899,8.894763,85.663857,143.872573,37.676794,1.878473,37.512995,0,2.279976,179.409361,0,10.379487,2.594008,63.397966,7.762529,4.822739,0,0,0
ABCC3,7.720115,1.766514,10.836304,7.416057,5.059569,63.55349,12.750529,1.710446,0,3.747133,6.192956,0,33.415943,1.224957,4.169905,1.981677,26.289842,26.25154,8.11389,5.49886,3.192732,1.317549,57.293191,2.226825,4.3746,17.529126,7.490036,2.281365,1.340695,1.246279,1.869856,10.553771,0.690108,0,2.830044,3.757538,9.398822,0,46.112414,2.511865,17.435117,4.323389,1.160682,0.176753,0.233581,1.132284,0.364166,51.132347,0.252282,10.484519,5.348439
ABCC4,12.2649,259.311656,1.990808,0.168252,5.077399,166.806726,46.468228,4.421802,0.06112,5.097646,3.814099,0.062941,7.958257,8.787518,14.255691,4.538835,15.557056,2.196544,1.32136,4.255599,4.87959,0.794986,46.754651,0.115894,2.018345,0.543175,4.075642,29.532276,41.263543,6.547596,2.342289,1.376568,0,22.249435,281.723302,0.190877,12.269063,26.18341,4.610405,19.264082,0.298661,1.564253,18.267824,0,0,0.554652,0,24.34996,0.082939,8.293228,0.029644
ABCC5,0,52.417966,0.587265,0,2.703447,0.893048,0,0.145633,27.486968,72.664967,27.69914,0,33.420838,0.401073,97.298642,0,2.385981,2.021234,0.625526,26.425991,2.280775,22.410751,0,0,0,0,9.571863,0.081924,51.359649,0,0.400109,0.832444,1.885228,1.983848,1.295024,0,5.601526,0,0.938527,56.107779,0.051092,1.115531,0,0,14.847345,5.663898,30.390012,0.527215,0,0.240487,0.559833
ABCC9,1.221736,1.064722,0.611037,0.251196,2.262466,3.805117,1.519974,1.249498,1.073801,0.702818,0.50999,0.247634,0.960204,0.237048,0.757825,0.975359,1.490521,0.705625,0.495348,1.234889,1.080168,1.29506,1.087684,0.815058,1.081851,10.065592,0.692424,0.931484,8.258406,1.851558,2.125832,2.596524,1.829657,0.850182,3.233755,2.542043,4.622821,0.956784,3.426193,0.491374,0.218872,0.063747,0.567159,0.79405,0.383791,0,0.567993,5.914374,0.258118,0.242836,0
ABCD3,52.983534,0,25.809243,0,0.088767,3.800477,48.200119,0.801468,0.161897,41.943974,0.094845,0,0,15.240482,6.567151,28.531701,0.472312,0,0.640827,0.18778,12.428602,16.964492,0.924778,0.14838,2.449082,0,38.426324,15.655798,0,5.410462,0.268357,0,1.762792,0,18.973931,0.199764,2.580882,0,77.401151,0,0.645369,0,0,0,2.971464,0,9.873443,0,0,3.505258,5.972124
ABCD4,3.149286,10.328968,2.343624,6.79328,0,12.898782,0,14.617008,78.972624,1.912709,1.31736,0,8.153761,0,1.518229,1.865671,3.438504,11.111171,2.761136,0.899777,0.955977,3.157246,5.556938,16.581689,65.998205,2.545605,0,4.544092,9.032798,15.958609,1.862688,73.456034,15.703917,3.046681,9.613977,48.073678,12.16972,1.363743,1.933521,10.093449,0,0,0.866353,1.574336,0,0,0,0.375813,7.573468,2.228441,26.195542
ABCE1,22.627594,4.299118,33.164724,3.056264,31.309927,104.41594,89.83366,153.761577,0.688339,0,0.215982,12.297614,0.187928,0,157.438156,21.943661,0,0,0.128479,2.158249,159.681924,0,9.573716,3.048514,0.164415,0,70.49837,53.186124,1.229727,1.474526,6.346355,4.138585,149.757714,13.292101,25.746474,13.506029,0.695222,30.83854,0.215741,74.857033,34.549939,0.559193,0,57.144883,129.753856,0.057114,79.231661,129.976541,14.090063,68.173578,74.112749
ABCF1,248.839579,67.356004,228.315799,113.597995,136.189551,61.373372,231.572328,125.717027,10.924786,107.042163,196.462937,27.517215,209.428116,89.923623,5.73857,77.774419,928.842061,132.534735,51.980009,81.101148,143.345831,148.385419,161.498628,99.512647,160.44878,306.062972,33.715518,265.027303,54.43657,314.503199,142.4981,55.850693,90.427247,128.930097,46.010962,69.287419,170.80481,7.593617,115.937107,108.183284,29.224917,16.541856,83.200074,19.770116,134.706917,2.599631,67.877138,194.652272,107.850017,76.52413,2.908814
ABCF3,12.620521,16.07374,70.078603,0,26.799258,0,9.177908,0,0,0,0.584835,0,4.850987,0,0,1.59257,0,7.623368,12.557532,3.43299,12.209341,10.661443,11.623988,6.520794,2.295702,0.182282,30.952624,114.139582,0.253228,0.734331,0.931855,92.407618,4.530694,45.466428,0.61134,1.213352,11.381598,132.632849,0,0,1.386539,0,17.488916,0,0,0,0,1.048228,12.128768,30.222115,36.317151
ABCG1,28.134629,0,18.526223,0.243928,0,56.800932,1.554015,1.450687,70.209698,0.447934,9.639819,59.657573,4.681588,4.106769,3.372267,1.304128,0,1.238498,0,3.727359,0,42.039961,1.38286,97.479249,7.850166,0,0.963192,19.020918,2.303014,0.79496,5.263222,0.173158,15.1921,12.516942,14.137001,20.832076,0,0,131.750443,21.942991,0.137829,0,0.946847,0.37875,0.246208,0,18.735514,0,21.360774,0.074694,5.679326
ABCG8,1.06098,0.378236,1.524455,0,3.18711,8.012005,2.947596,0.631829,2.110549,0.918281,1.135289,0.247967,0.983054,0.893984,2.005781,2.837442,0.521878,1.902688,1.842544,1.039561,0.151163,0.963611,0.752474,1.601882,2.264361,0.299854,0.280407,1.106057,1.853187,0.421436,1.501084,0.662208,0.708233,0.884705,0.170823,0.919162,1.385583,2.053921,0.656294,0.080611,1.385668,0.104267,0.030214,0.162883,0.205346,2.391621,0,0,0.183469,0.431991,0
ABHD1,0.180826,0.182573,1.109707,0.508726,0.742408,0,3.789705,0.84672,0.212366,0.14318,0.370088,0.250798,1.285028,1.549802,1.963109,0.49346,0.453408,0.23054,0.677413,0.662261,1.274484,0,2.725133,0.430239,1.745584,3.013743,0.32911,0,0,0.960425,1.529403,1.100284,0.367523,0.53452,0.651833,0,2.727778,0,0.382244,0.411305,0.258551,0.441861,0.10603,0.138575,0.63519,0,0.137874,0,0,0.086883,0
ABHD10,0,0,12.902137,0,5.608596,0,0.131236,106.97164,0,0.700905,0.526407,0.647102,14.601818,3.692348,0,13.650601,8.156889,0,0.169123,1.728535,2.346726,29.025032,0,46.191489,0,3.777482,0,1.225094,0,1.47825,64.506495,5.436326,1.462328,16.74582,0.818312,0,11.070398,0,0,0,0,0,1.418412,0,19.589432,0,0,0,0.053924,0.075972,0
ABHD11,112.134365,41.289058,84.158851,101.521196,13.893643,154.494044,188.16835,73.19575,133.170328,72.968553,55.426701,10.39782,229.466994,55.893488,52.538731,78.518722,7.249174,71.747726,62.083185,182.801225,89.574275,41.408707,239.136872,1.055682,62.192453,0,108.939255,29.808997,73.824049,27.995275,2.554464,26.596312,182.290233,52.41524,46.327882,169.002988,15.44861,39.247058,70.336267,92.126824,29.729707,87.933085,1.011977,139.230503,20.982649,0,20.348726,61.249259,0.214769,65.206135,77.666021
ABHD12,154.734896,1.228713,0,3.926416,32.259075,11.156872,11.349421,6.734931,0,1.610758,12.989855,1.085066,2.832573,5.761372,103.343602,0.339134,19.046839,69.022419,0.549241,41.216382,89.483156,18.688322,2.97553,7.254392,18.77105,1.13641,7.861455,5.117851,60.0196,79.480817,10.813704,9.967293,99.256665,0,11.232985,152.840856,3.28955,8.559309,10.120551,277.052109,0,0,0,0.716846,0,0,0.300687,0,0.125404,0,0
ABHD16A,82.4335,0.798824,35.797989,0,3.576873,76.687818,3.025346,6.873619,0,9.666485,0,0,105.864844,0,150.611235,7.2357,47.424171,148.71562,2.021218,25.129378,65.506983,9.38374,19.032149,0,9.364722,8.748578,1.924398,0.443598,0,0,7.08122,4.867182,7.886706,8.615081,0,6.252603,42.945315,102.299054,0.788633,123.69351,0,0,0.260336,0,0,0,0.899828,14.931108,0,0,9.2119
ABHD17B,2.116639,1.190299,8.977096,0.133674,14.371904,4.123493,0,0.808023,40.031571,0,25.332198,3.030588,2.952922,46.369334,2.782543,0.178673,2.359245,9.337947,0.681091,10.98222,0.53418,0,0.926332,1.2763,0.563784,0.756753,2.349283,5.164724,29.001648,3.375836,0.187095,13.502832,8.521869,4.710951,5.236497,41.542764,0.124525,0.134102,0,2.283332,0.48407,0,0.063387,0,2.389306,0,76.79289,0,64.74756,7.195517,0
ABHD17C,0,3.29389,15.146066,0,21.644988,17.763352,0,2.842088,0.368005,74.252587,0,0,0.737914,0,8.896958,4.041449,0.42512,4.384726,5.158029,0.539977,6.555407,0.366787,12.8541,0,36.27139,29.790195,9.629375,7.528551,0,33.500822,1.834185,42.779949,25.311895,27.055008,108.691787,0.885473,0.262788,0,0,78.972408,106.192582,0,0,1.67178,0,0,0,7.039157,0,0,0
ABHD18,4.023962,0.521038,0.835713,0.555735,0.27214,1.894092,0.390778,1.974171,0.207542,7.543294,0.158429,1.104131,0.202745,0.233769,0.407627,0.377876,0.134968,0.507224,0.687902,0.432168,0.396425,3.89342,15.713094,1.780176,3.421197,0.264638,8.344093,0.727579,0.922842,0.159971,0.61202,4.955737,4.880286,1.505817,2.050414,4.22469,0.563782,0.973875,1.004943,0.062078,1.246519,3.164262,2.058091,0.784619,1.123656,0.429236,0.454195,0.034154,0.076521,1.021745,0.18467
ABHD2,0.133715,4.326424,1.011614,43.066121,2.503122,17.710695,3.094075,1.055373,5.797219,2.448687,97.171606,177.54856,57.16892,0,0,3.195045,2.124069,2.435303,0.143208,0.071289,49.015795,11.156872,5.451581,7.242322,0.168786,0.049705,5.495166,3.675992,1.271181,218.582878,5.016095,2.525159,4.308892,73.056322,5.182254,8.121825,79.46728,4.791403,16.744706,147.557188,0.541044,0.471041,0.040609,12.430913,19.999641,125.967939,0.647575,0.890581,0.03716,0.623027,0
ABHD3,0,0,0.942241,0,0.260378,18.48433,1.57371,0.020693,422.792529,1.777933,0.206623,0,0.243458,0,22.362734,0,0,8.340876,0,35.312901,12.366464,45.173069,0,20.255764,26.77932,26.68439,0,1.331145,1.758343,0,1.592668,73.800886,4.926756,0,2.41339,0.216202,0.350417,0,0,0,0,0,0,0,0,0.67453,5.769641,0,0,0,0
ABHD5,1.634136,0,47.010808,2.034115,5.065019,5.061282,0.339499,16.688577,5.488567,0.163016,7.240906,0.162046,2.450082,14.169561,9.620366,7.612803,8.770237,0.445752,6.067113,2.039431,8.430014,7.408642,28.918455,0,30.468632,0.150124,0.142538,0,1.197946,7.387777,0.331789,12.451935,13.440391,0.107149,0.180434,15.421904,0.806133,0.970148,0.146589,123.49491,7.459329,2.1882,0.052932,3.69132,0,0.097047,0,1.33133,0.049096,1.560542,2.824332
ABI1,226.667145,50.095097,110.915931,8.530942,70.847635,60.535081,377.40438,137.65096,17.773103,41.863533,88.385519,227.791376,209.542735,28.924504,70.892464,127.814214,16.851176,92.128874,62.586342,219.732905,104.245297,124.314082,123.649966,426.434657,81.104107,0.177489,21.074953,132.605329,147.845962,184.619004,72.925021,44.161788,248.227054,181.801574,181.974082,15.707857,83.349088,8.995097,84.58226,32.628082,28.334687,26.40379,5.018979,95.678841,11.987702,7.866103,38.946771,18.413437,52.003492,45.196216,0.287708
ABI2,6.908973,127.544908,9.520811,0.461884,55.611363,209.672961,0.748794,14.314218,3.268046,7.668743,13.239539,1.762946,3.301876,6.016831,12.157558,64.057588,7.603646,7.536506,2.136535,5.861731,7.060784,8.822889,0.219794,6.804655,0.515478,21.136192,0.027553,14.50846,7.581315,16.595408,6.271081,137.073969,83.531757,25.151557,23.75864,21.477832,9.037623,80.183519,5.054097,28.139608,3.079224,6.505316,0.027878,67.15336,0.336709,0.032441,0.061676,0.014266,3.195561,4.739631,0.012591
ABI3BP,0.149415,0.256787,47.386048,0,1.494049,0.169196,9.931095,6.072542,0.303912,0,0,0,0,0,47.668151,0.101373,1.268107,2.768121,3.520069,19.050785,0,0.410684,5.527873,29.083291,0,3.455038,6.011597,7.046904,14.702433,2.885509,7.133756,0,3.27426,1.134764,12.504755,6.155689,7.031386,0,92.210264,7.899114,1.632149,0,0,0.729281,0.743378,7.376187,0.056142,0.061846,0,0,0.554676
ABL2,8.632467,2.077418,2.466781,1.785208,9.486351,4.687345,1.911228,4.437735,0.116483,1.109323,0.734241,0.572415,0.772424,9.215633,17.277733,10.65585,21.27834,0.840453,0.919373,1.025383,28.260226,11.215654,34.886906,6.138304,3.407325,1.59959,8.528352,1.495171,5.160948,1.913581,41.221551,0.269798,0.329475,21.626995,0.069984,4.868607,0.063717,5.635419,4.471077,6.392268,19.742224,0.218907,2.710096,1.531617,8.110554,1.259624,1.404877,57.435149,0.852892,12.493157,11.16691
ABLIM1,105.262989,20.214408,25.133624,13.224778,92.095014,42.292365,183.500614,6.894176,2.76215,0.238733,17.620034,5.376231,65.503047,27.635115,4.176891,25.412578,58.123588,43.587494,68.793615,22.733243,4.919003,19.106342,27.639363,0,0.64667,1.226282,49.124089,35.465384,23.48838,34.500942,28.150701,1.226078,44.80457,134.503298,8.548505,411.030629,13.810121,0.68145,138.578452,104.676472,9.453759,9.088737,0.585559,16.493799,389.041964,344.254355,2.025758,90.975975,9.887001,10.113021,81.78957
ABO,0.241323,5.765475,1.625425,0.011984,0.071759,2.608029,0.522002,0.802803,0.075194,2.028956,6.003569,0,4.735509,0,1.5127,0.915719,1.36758,2.319731,1.254304,1.363511,0.286217,1.451429,2.907674,0.130475,0,0.138613,0.199318,3.205853,1.020005,0.951888,0.689686,0.243014,0.125071,0.415903,2.61182,6.318355,0.098687,0.710321,0,1.664125,1.644728,0,0,0,0,0,0,0,0,0.032845,2.037885
ABR,1.90861,0,12.60394,87.047171,6.345054,5.405709,14.785782,35.616849,0,17.962554,2.330931,0,0,0.636946,0.976443,8.805217,0,6.560346,208.454867,7.393882,1.212944,0,45.544963,5.271315,0,0.184321,1.335985,0,70.937238,15.391841,26.2562,7.481269,1.01767,6.371715,1.407798,157.445206,14.036391,0,0.971217,0.863668,1.695,14.455652,17.534996,0,0,0.488172,0,1.206152,0,0,0.147061
ABRACL,131.283403,584.145854,228.168202,37.863021,166.428798,365.006939,453.116808,269.925245,219.503393,393.713829,318.490103,870.657104,256.766184,326.623938,953.163963,282.288784,130.912292,206.567406,351.416895,689.214834,178.287445,205.25174,134.195149,250.255158,176.551428,40.379702,168.189891,124.22649,312.818653,434.407337,203.569837,351.607128,428.120363,363.695275,300.883552,20.224989,565.712643,54.265485,3.94387,402.983446,29.546416,16.471186,370.701955,275.568713,160.367297,202.733721,85.57459,352.613343,215.20535,137.292584,315.800895
