Cells,Differentiation,Stemness,S_D,Cell_status,weight,State,Sample_title,individual,sampling_site,count_value,Mean_TPM
SRR7008515,-0.058336571,0.2963851495,0.3547217205,Stemness,3,High_Stemness,L1_I1_LUM_E11,individual 1,luminal,3,33.97614
SRR7008516,-0.1527662005,-0.0059736011,0.1467925994,Stemness,1,Low_Stemness,L1_I1_LUM_E12,individual 1,luminal,12,29.6647188
SRR7008517,-0.0611609153,0.0965984255,0.1577593408,Stemness,2,Moderate_Stemness,L1_I1_LUM_F1,individual 1,luminal,13,26.34141415
SRR7008518,0.0183587555,0.0781894741,0.0598307186,Differentiation,3,High_Differentiation,L1_I1_LUM_F2,individual 1,luminal,11,23.2707504
SRR7008519,-0.2546912217,-0.0806649662,0.1740262555,Stemness,2,Moderate_Stemness,L1_I1_LUM_F3,individual 1,luminal,14,28.5291096667
SRR7008520,-0.1244272946,0.0258630411,0.1502903357,Stemness,2,Moderate_Stemness,L1_I1_LUM_F4,individual 1,luminal,11,16.0391206
SRR7008521,0.08202642,0.3545887522,0.2725623322,Stemness,3,High_Stemness,L1_I1_LUM_F5,individual 1,luminal,13,12.2979702
SRR7008522,-0.166737631,0.1781458635,0.3448834945,Stemness,3,High_Stemness,L1_I1_LUM_F6,individual 1,luminal,13,22.3627697
SRR7008523,-0.0202474927,0.1227575691,0.1430050618,Stemness,1,Low_Stemness,L1_I1_LUM_F7,individual 1,luminal,11,12.43699
SRR7008524,-0.0328824146,-0.0263922794,0.0064901352,Differentiation,3,High_Differentiation,L1_I1_LUM_F8,individual 1,luminal,6,26.127874
SRR7008525,-0.2531871602,0.2782841009,0.5314712611,Stemness,3,High_Stemness,L1_I1_LUM_F9,individual 1,luminal,9,127.558743
SRR7008526,0.1200322275,-0.0606108745,-0.180643102,Differentiation,1,Low_Differentiation,L1_I1_LUM_F10,individual 1,luminal,14,12.9689545
SRR7008527,0.0619204282,0.2285584445,0.1666380163,Stemness,2,Moderate_Stemness,L1_I1_LUM_F11,individual 1,luminal,12,134.1864926
SRR7008528,-0.0597706299,0.05870831,0.1184789399,Stemness,1,Low_Stemness,L1_I1_LUM_F12,individual 1,luminal,9,1.4158331643
SRR7008529,-0.0847671453,0.2579774431,0.3427445884,Stemness,3,High_Stemness,L1_I1_LUM_G1,individual 1,luminal,6,11.8442006
SRR7008530,-0.2224649619,0.1050793676,0.3275443295,Stemness,3,High_Stemness,L1_I1_LUM_G2,individual 1,luminal,7,25.7949508
SRR7008531,-0.2484681294,0.0834499069,0.3319180363,Stemness,3,High_Stemness,L1_I1_LUM_G3,individual 1,luminal,10,31.3854400667
SRR7008532,0.0382608814,0.2271599542,0.1888990728,Stemness,2,Moderate_Stemness,L1_I1_LUM_G4,individual 1,luminal,14,21.19380205
SRR7008533,-0.4381275074,-0.0520087771,0.3861187303,Stemness,3,High_Stemness,L1_I1_LUM_G5,individual 1,luminal,10,12.1200209333
SRR7008534,-0.1896159134,0.314032138,0.5036480514,Stemness,3,High_Stemness,L1_I1_LUM_G6,individual 1,luminal,9,18.3846299667
SRR7008535,0.0515388026,0.1712971827,0.1197583801,Stemness,1,Low_Stemness,L1_I1_LUM_G7,individual 1,luminal,7,15.9892732
SRR7008536,0.0523678293,0.0850942761,0.0327264468,Differentiation,3,High_Differentiation,L1_I1_LUM_G8,individual 1,luminal,10,24.082314
SRR7008537,-0.0128489517,-0.0218770325,-0.0090280808,Differentiation,3,High_Differentiation,L1_I1_LUM_G9,individual 1,luminal,11,15.0706214
SRR7008538,0.0533260511,-0.0099807328,-0.0633067839,Differentiation,2,Moderate_Differentiation,L1_I1_LUM_G10,individual 1,luminal,11,24.4067392
SRR7008539,0.082410122,0.1068729251,0.0244628031,Differentiation,3,High_Differentiation,L1_I1_LUM_G11,individual 1,luminal,11,31.6083553333
SRR7008540,0.1980222867,0.1511303527,-0.046891934,Differentiation,2,Moderate_Differentiation,L1_I1_LUM_G12,individual 1,luminal,9,19.0421647
SRR7008541,-0.0239167472,0.2505669517,0.2744836989,Stemness,3,High_Stemness,L1_I1_LUM_H1,individual 1,luminal,7,1.8053063429
SRR7008542,-0.1137595547,0.0978274095,0.2115869642,Stemness,2,Moderate_Stemness,L1_I1_LUM_H2,individual 1,luminal,13,#DIV/0!
SRR7008543,-0.0314928003,0.0520519056,0.0835447059,Stemness,1,Low_Stemness,L1_I1_LUM_H3,individual 1,luminal,10,0.8106970286
SRR7008544,-0.3425243233,-0.0343327721,0.3081915512,Stemness,3,High_Stemness,L1_I1_LUM_H4,individual 1,luminal,10,16.7125609333
