genes,gene_short_name
A1BG,A1BG
AACS,AACS
AAK1,AAK1
AAMDC,AAMDC
AARS,AARS
AARSD1,AARSD1
ABCA5,ABCA5
ABCA9,ABCA9
ABCB7,ABCB7
ABCB9,ABCB9
ABCC3,ABCC3
ABCC9,ABCC9
ABCD4,ABCD4
ABCE1,ABCE1
ABCF1,ABCF1
ABCF2,ABCF2
ABCG8,ABCG8
ABHD18,ABHD18
ABHD5,ABHD5
ABI1,ABI1
ABI2,ABI2
ABL2,ABL2
ABLIM1,ABLIM1
ABRAXAS1,ABRAXAS1
ACAA2,ACAA2
ACACB,ACACB
ACADVL,ACADVL
ACAP2,ACAP2
ACAT1,ACAT1
ACIN1,ACIN1
ACOT11,ACOT11
ACOT9,ACOT9
ACOX1,ACOX1
ACP1,ACP1
ACSF3,ACSF3
ACSL1,ACSL1
ACSL3,ACSL3
ACSL4,ACSL4
ACTA2,ACTA2
ACTB,ACTB
ACTG1,ACTG1
ACTG2,ACTG2
ACTN1,ACTN1
ACTN4,ACTN4
ACTR10,ACTR10
ACTR1A,ACTR1A
ACTR2,ACTR2
ACTR3,ACTR3
ACTR6,ACTR6
ACVR2A,ACVR2A
ADAL,ADAL
ADAM10,ADAM10
ADAM17,ADAM17
ADAM32,ADAM32
ADAMTS1,ADAMTS1
ADAMTS4,ADAMTS4
ADAMTSL3,ADAMTSL3
ADAR,ADAR
ADD1,ADD1
ADGRF1,ADGRF1
ADGRG1,ADGRG1
ADGRV1,ADGRV1
ADH5,ADH5
ADIPOR1,ADIPOR1
ADK,ADK
ADNP,ADNP
ADRM1,ADRM1
ADSL,ADSL
AEBP2,AEBP2
AFDN,AFDN
AFF4,AFF4
AFMID,AFMID
AFTPH,AFTPH
AGK,AGK
AGO2,AGO2
AGO3,AGO3
AHCYL1,AHCYL1
AHDC1,AHDC1
AHI1,AHI1
AHNAK,AHNAK
AHR,AHR
AHSA1,AHSA1
AIG1,AIG1
AIMP1,AIMP1
AK2,AK2
AK3,AK3
AK4,AK4
AK6,AK6
AKAP13,AKAP13
AKAP2,AKAP2
AKAP9,AKAP9
AKNA,AKNA
AKR1A1,AKR1A1
AKR1B1,AKR1B1
AKR1C3,AKR1C3
AKT2,AKT2
ALDH2,ALDH2
ALDH3A2,ALDH3A2
ALDH6A1,ALDH6A1
ALDH7A1,ALDH7A1
ALDOA,ALDOA
ALG11,ALG11
ALG14,ALG14
ALG9,ALG9
ALPK1,ALPK1
ALYREF,ALYREF
AMD1,AMD1
AMFR,AMFR
AMIGO2,AMIGO2
AMN1,AMN1
AMZ2,AMZ2
ANAPC1,ANAPC1
ANAPC11,ANAPC11
ANAPC15,ANAPC15
ANAPC16,ANAPC16
ANAPC5,ANAPC5
ANAPC7,ANAPC7
ANGEL2,ANGEL2
ANK3,ANK3
ANKH,ANKH
ANKHD1,ANKHD1
ANKIB1,ANKIB1
ANKLE1,ANKLE1
ANKLE2,ANKLE2
ANKRD10,ANKRD10
ANKRD11,ANKRD11
ANKRD12,ANKRD12
ANKRD13A,ANKRD13A
ANKRD17,ANKRD17
ANKRD36,ANKRD36
ANKRD36B,ANKRD36B
ANKRD36C,ANKRD36C
ANKRD40,ANKRD40
ANKRD40CL,ANKRD40CL
