genes,gene_short_name
ANKS1B,ANKS1B
ANKZF1,ANKZF1
ANO6,ANO6
ANP32B,ANP32B
ANP32E,ANP32E
ANXA1,ANXA1
ANXA11,ANXA11
ANXA2,ANXA2
ANXA3,ANXA3
ANXA4,ANXA4
ANXA5,ANXA5
ANXA7,ANXA7
AOPEP,AOPEP
AP1G1,AP1G1
AP1G2,AP1G2
AP1M1,AP1M1
AP1S3,AP1S3
AP2A1,AP2A1
AP2B1,AP2B1
AP2M1,AP2M1
AP3B1,AP3B1
AP3B2,AP3B2
AP3D1,AP3D1
AP3S1,AP3S1
AP4S1,AP4S1
AP5S1,AP5S1
APEX1,APEX1
APLP2,APLP2
APOBEC3C,APOBEC3C
APOL6,APOL6
APOOL,APOOL
APP,APP
APPBP2,APPBP2
APPL1,APPL1
APRT,APRT
AQR,AQR
ARCN1,ARCN1
ARF1,ARF1
ARF4,ARF4
ARF6,ARF6
ARFGAP3,ARFGAP3
ARFGEF1,ARFGEF1
ARFGEF2,ARFGEF2
ARGLU1,ARGLU1
ARHGAP1,ARHGAP1
ARHGAP17,ARHGAP17
ARHGAP21,ARHGAP21
ARHGAP26,ARHGAP26
ARHGAP28,ARHGAP28
ARHGAP29,ARHGAP29
ARHGAP5,ARHGAP5
ARHGEF10,ARHGEF10
ARHGEF12,ARHGEF12
ARHGEF9,ARHGEF9
ARID1A,ARID1A
ARID1B,ARID1B
ARID2,ARID2
ARID4A,ARID4A
ARID4B,ARID4B
ARID5B,ARID5B
ARIH1,ARIH1
ARIH2,ARIH2
ARL1,ARL1
ARL10,ARL10
ARL17A,ARL17A
ARL2,ARL2
ARL4A,ARL4A
ARL4C,ARL4C
ARL6IP1,ARL6IP1
ARL6IP5,ARL6IP5
ARL8B,ARL8B
ARMC8,ARMC8
ARNT,ARNT
ARPC1B,ARPC1B
ARPC2,ARPC2
ARPC3,ARPC3
ARPC4,ARPC4
ARPC5,ARPC5
ARPIN,ARPIN
ARPP19,ARPP19
ARRDC3,ARRDC3
ARSD,ARSD
ARSG,ARSG
ASAH1,ASAH1
ASAP1,ASAP1
ASB3,ASB3
ASCC1,ASCC1
ASH1L,ASH1L
ASNS,ASNS
ASPA,ASPA
ASPH,ASPH
ASTN2,ASTN2
ASXL1,ASXL1
ATF4,ATF4
ATF6,ATF6
ATF6B,ATF6B
ATF7IP,ATF7IP
ATG10,ATG10
ATG12,ATG12
ATG13,ATG13
ATG14,ATG14
ATL2,ATL2
ATL3,ATL3
ATM,ATM
ATP13A3,ATP13A3
ATP1A1,ATP1A1
ATP1B1,ATP1B1
ATP1B3,ATP1B3
ATP2A2,ATP2A2
ATP2B1,ATP2B1
ATP2C1,ATP2C1
ATP5F1A,ATP5F1A
ATP5F1B,ATP5F1B
ATP5F1C,ATP5F1C
ATP5F1D,ATP5F1D
ATP5F1E,ATP5F1E
ATP5IF1,ATP5IF1
ATP5MC1,ATP5MC1
ATP5MC2,ATP5MC2
ATP5MC3,ATP5MC3
ATP5MD,ATP5MD
ATP5ME,ATP5ME
ATP5MF,ATP5MF
ATP5MG,ATP5MG
ATP5MPL,ATP5MPL
ATP5PB,ATP5PB
ATP5PD,ATP5PD
ATP5PF,ATP5PF
ATP5PO,ATP5PO
ATP6,ATP6
ATP6AP2,ATP6AP2
ATP6V0A1,ATP6V0A1
ATP6V0A2,ATP6V0A2
ATP6V0B,ATP6V0B
ATP6V0C,ATP6V0C
ATP6V0D1,ATP6V0D1
ATP6V0E1,ATP6V0E1
ATP6V1A,ATP6V1A
ATP6V1B2,ATP6V1B2
ATP6V1C1,ATP6V1C1
ATP6V1D,ATP6V1D
ATP6V1E1,ATP6V1E1
ATP6V1F,ATP6V1F
ATP6V1G1,ATP6V1G1
ATP6V1H,ATP6V1H
ATP8,ATP8
ATP8B1,ATP8B1
ATP8B2,ATP8B2
ATP9B,ATP9B
ATRX,ATRX
ATXN1,ATXN1
ATXN10,ATXN10
ATXN2,ATXN2
ATXN3,ATXN3
ATXN7L3B,ATXN7L3B
AUP1,AUP1
AUTS2,AUTS2
AVL9,AVL9
AXL,AXL
AZI2,AZI2
AZIN1,AZIN1
B2M,B2M
B4GALT1,B4GALT1
BACE2,BACE2
BACH1,BACH1
BAG1,BAG1
BAG4,BAG4
BANF1,BANF1
BAP1,BAP1
BAX,BAX
BAZ1A,BAZ1A
BAZ1B,BAZ1B
BAZ2A,BAZ2A
BAZ2B,BAZ2B
BBIP1,BBIP1
BBX,BBX
BCAP29,BCAP29
BCAP31,BCAP31
BCAS3,BCAS3
BCAS4,BCAS4
BCCIP,BCCIP
BCDIN3D,BCDIN3D
BCL10,BCL10
BCL11A,BCL11A
BCL2L15,BCL2L15
BCL6,BCL6
BCLAF1,BCLAF1
BCLAF3,BCLAF3
BDP1,BDP1
BECN1,BECN1
BEST1,BEST1
BET1,BET1
BFAR,BFAR
BHLHE40,BHLHE40
BIRC2,BIRC2
BIRC3,BIRC3
BIRC6,BIRC6
BLCAP,BLCAP
BLOC1S2,BLOC1S2
BLOC1S6,BLOC1S6
BLVRB,BLVRB
BMPR1A,BMPR1A
BMPR2,BMPR2
BMS1,BMS1
BNIP2,BNIP2
BNIP3,BNIP3
BNIP3L,BNIP3L
BOD1L1,BOD1L1
BOLA2-SMG1P6,BOLA2-SMG1P6
BORCS8,BORCS8
BPTF,BPTF
BRAF,BRAF
BRD2,BRD2
BRD4,BRD4
BRD7,BRD7
BRD8,BRD8
BRI3,BRI3
BRI3BP,BRI3BP
BRIP1,BRIP1
BRIX1,BRIX1
BRK1,BRK1
BROX,BROX
BRWD1,BRWD1
BSDC1,BSDC1
BSG,BSG
BTAF1,BTAF1
BTBD1,BTBD1
BTBD7,BTBD7
BTF3,BTF3
BTF3L4,BTF3L4
BTG1,BTG1
BTG3,BTG3
BTN3A2,BTN3A2
BUB3,BUB3
BUD23,BUD23
BUD31,BUD31
BZW1,BZW1
BZW2,BZW2
C11orf1,C11orf1
C11orf49,C11orf49
C11orf54,C11orf54
C11orf58,C11orf58
C12orf43,C12orf43
C12orf45,C12orf45
C12orf49,C12orf49
C12orf50,C12orf50
C12orf57,C12orf57
C12orf65,C12orf65
C12orf76,C12orf76
C14orf119,C14orf119
C15orf40,C15orf40
C16orf72,C16orf72
C16orf87,C16orf87
C17orf75,C17orf75
C18orf32,C18orf32
C19orf53,C19orf53
C1orf109,C1orf109
C1orf174,C1orf174
C1orf43,C1orf43
C1orf56,C1orf56
C1R,C1R
C1S,C1S
C2CD3,C2CD3
C2orf68,C2orf68
C2orf92,C2orf92
C3,C3
C3orf62,C3orf62
C4BPB,C4BPB
C4orf3,C4orf3
C5AR1,C5AR1
C5AR2,C5AR2
C6orf132,C6orf132
C6orf62,C6orf62
C9orf78,C9orf78
C9orf85,C9orf85
CA5A,CA5A
CA5B,CA5B
CACNA1A,CACNA1A
CACNB3,CACNB3
CACNB4,CACNB4
CACUL1,CACUL1
CACYBP,CACYBP
CALCOCO2,CALCOCO2
CALD1,CALD1
CALM1,CALM1
CALM2,CALM2
CALR,CALR
CALU,CALU
CAMK2D,CAMK2D
CAMTA1,CAMTA1
CAND1,CAND1
CANX,CANX
CAP1,CAP1
CAPN12,CAPN12
CAPN2,CAPN2
CAPNS1,CAPNS1
CAPRIN1,CAPRIN1
CAPS,CAPS
CAPZA1,CAPZA1
CAPZA2,CAPZA2
CAPZB,CAPZB
CARD8,CARD8
CARHSP1,CARHSP1
CARMIL1,CARMIL1
CARS,CARS
CASC3,CASC3
CASC4,CASC4
CASK,CASK
CASP10,CASP10
CASP2,CASP2
CASP4,CASP4
CAST,CAST
CATSPER2,CATSPER2
CATSPERG,CATSPERG
CAV1,CAV1
CAV2,CAV2
CAVIN1,CAVIN1
CBFA2T2,CBFA2T2
CBR4,CBR4
CBWD1,CBWD1
CBWD2,CBWD2
CBWD5,CBWD5
CBWD6,CBWD6
CBX1,CBX1
CBX3,CBX3
CBX5,CBX5
CBX6,CBX6
CCAR1,CCAR1
CCDC122,CCDC122
CCDC124,CCDC124
CCDC125,CCDC125
CCDC127,CCDC127
CCDC14,CCDC14
CCDC141,CCDC141
CCDC144A,CCDC144A
CCDC144B,CCDC144B
CCDC149,CCDC149
CCDC169,CCDC169
CCDC186,CCDC186
CCDC30,CCDC30
CCDC32,CCDC32
CCDC47,CCDC47
CCDC50,CCDC50
CCDC57,CCDC57
CCDC6,CCDC6
CCDC66,CCDC66
CCDC69,CCDC69
CCDC80,CCDC80
CCDC88A,CCDC88A
CCDC88B,CCDC88B
CCDC90B,CCDC90B
CCDC93,CCDC93
CCL2,CCL2
CCL28,CCL28
CCL5,CCL5
CCNB1IP1,CCNB1IP1
CCNC,CCNC
CCNDBP1,CCNDBP1
CCNG2,CCNG2
CCNI,CCNI
CCNL1,CCNL1
CCNL2,CCNL2
CCPG1,CCPG1
CCT2,CCT2
CCT3,CCT3
CCT4,CCT4
CCT5,CCT5
CCT6A,CCT6A
CCT7,CCT7
CCT8,CCT8
CCZ1,CCZ1
CCZ1B,CCZ1B
CD151,CD151
CD164,CD164
CD24,CD24
CD2AP,CD2AP
CD3EAP,CD3EAP
CD44,CD44
CD46,CD46
CD47,CD47
CD55,CD55
CD59,CD59
CD63,CD63
CD74,CD74
CD81,CD81
CD82,CD82
CD9,CD9
CDC37,CDC37
CDC40,CDC40
CDC42,CDC42
CDC42BPA,CDC42BPA
CDC42EP3,CDC42EP3
CDC42SE1,CDC42SE1
CDC42SE2,CDC42SE2
CDC5L,CDC5L
CDC73,CDC73
CDCP1,CDCP1
CDH1,CDH1
CDH13,CDH13
CDH3,CDH3
CDK10,CDK10
CDK11A,CDK11A
CDK11B,CDK11B
CDK12,CDK12
CDK13,CDK13
CDK2AP1,CDK2AP1
CDK5RAP3,CDK5RAP3
CDKAL1,CDKAL1
CDKL5,CDKL5
CDS2,CDS2
CDV3,CDV3
CEBPB,CEBPB
CEBPD,CEBPD
CEBPZ,CEBPZ
CEBPZOS,CEBPZOS
CELF1,CELF1
CEMIP2,CEMIP2
CEP135,CEP135
CEP250,CEP250
CEP350,CEP350
CEP57,CEP57
CEP78,CEP78
CEP89,CEP89
CEP95,CEP95
CEPT1,CEPT1
CERS5,CERS5
CFAP221,CFAP221
CFAP54,CFAP54
CFAP69,CFAP69
CFAP74,CFAP74
CFAP97,CFAP97
CFDP1,CFDP1
CFL1,CFL1
CFL2,CFL2
CFLAR,CFLAR
CHAF1B,CHAF1B
CHCHD2,CHCHD2
CHD1,CHD1
CHD2,CHD2
CHD4,CHD4
CHD6,CHD6
CHD7,CHD7
CHD8,CHD8
CHD9,CHD9
CHDH,CHDH
CHEK1,CHEK1
CHEK2,CHEK2
CHFR,CHFR
CHI3L1,CHI3L1
CHIC2,CHIC2
CHMP1B,CHMP1B
CHMP2A,CHMP2A
CHMP2B,CHMP2B
CHMP3,CHMP3
CHMP4A,CHMP4A
CHMP5,CHMP5
CHORDC1,CHORDC1
CHP1,CHP1
CHPT1,CHPT1
CHST12,CHST12
CHTOP,CHTOP
CHURC1,CHURC1
CIAO2B,CIAO2B
CIITA,CIITA
CINP,CINP
CIR1,CIR1
CISD1,CISD1
CISD2,CISD2
CKAP4,CKAP4
CLASP1,CLASP1
CLASP2,CLASP2
CLCC1,CLCC1
CLCN3,CLCN3
CLDN12,CLDN12
CLDN4,CLDN4
CLDND1,CLDND1
CLEC7A,CLEC7A
CLIC1,CLIC1
CLIC4,CLIC4
CLINT1,CLINT1
CLIP1,CLIP1
CLIP4,CLIP4
CLK1,CLK1
CLK3,CLK3
CLK4,CLK4
CLMN,CLMN
CLMP,CLMP
CLN3,CLN3
CLN5,CLN5
CLNS1A,CLNS1A
CLOCK,CLOCK
CLPB,CLPB
CLPX,CLPX
CLSTN1,CLSTN1
CLTA,CLTA
CLTC,CLTC
CLU,CLU
CLUAP1,CLUAP1
CMC2,CMC2
CMIP,CMIP
CMPK1,CMPK1
CMSS1,CMSS1
CMTM6,CMTM6
CMTM7,CMTM7
CNBP,CNBP
CNDP2,CNDP2
CNEP1R1,CNEP1R1
CNIH1,CNIH1
CNIH4,CNIH4
CNKSR2,CNKSR2
CNKSR3,CNKSR3
CNN2,CNN2
CNN3,CNN3
CNOT1,CNOT1
CNOT10,CNOT10
CNOT2,CNOT2
CNOT4,CNOT4
CNOT7,CNOT7
CNOT9,CNOT9
CNP,CNP
CNPY2,CNPY2
COA1,COA1
COA7,COA7
COA8,COA8
COG8,COG8
COL17A1,COL17A1
COL27A1,COL27A1
COL4A2,COL4A2
COL4A3BP,COL4A3BP
COL8A1,COL8A1
COLEC12,COLEC12
COLGALT1,COLGALT1
COMMD4,COMMD4
COMMD6,COMMD6
COMT,COMT
COPA,COPA
COPB1,COPB1
COPB2,COPB2
COPG1,COPG1
COPS2,COPS2
COPS5,COPS5
COPS6,COPS6
COPZ1,COPZ1
COQ10B,COQ10B
COQ4,COQ4
COQ5,COQ5
CORO1C,CORO1C
COTL1,COTL1
COX1,COX1
COX11,COX11
COX16,COX16
COX17,COX17
COX18,COX18
COX2,COX2
COX20,COX20
COX3,COX3
COX4I1,COX4I1
COX5B,COX5B
COX6A1,COX6A1
COX6B1,COX6B1
COX6C,COX6C
COX7A2,COX7A2
COX7A2L,COX7A2L
COX7B,COX7B
COX7C,COX7C
COX8A,COX8A
CPAMD8,CPAMD8
CPD,CPD
CPEB4,CPEB4
CPLANE1,CPLANE1
CPM,CPM
CPNE1,CPNE1
CPNE3,CPNE3
CPSF2,CPSF2
CPSF6,CPSF6
CPT1A,CPT1A
CPT1C,CPT1C
CRBN,CRBN
CRCP,CRCP
CREB1,CREB1
CREB3L2,CREB3L2
CREBBP,CREBBP
CREBRF,CREBRF
CREG1,CREG1
CRIM1,CRIM1
CRIPT,CRIPT
CRISPLD2,CRISPLD2
CRK,CRK
CRLF3,CRLF3
CRYAB,CRYAB
CRYBB2P1,CRYBB2P1
CRYBG1,CRYBG1
CRYZL1,CRYZL1
CS,CS
CSAD,CSAD
CSDE1,CSDE1
CSF2RA,CSF2RA
CSNK1A1,CSNK1A1
CSNK1D,CSNK1D
CSNK1E,CSNK1E
CSNK2A1,CSNK2A1
CSNK2A2,CSNK2A2
CSPP1,CSPP1
CSRP1,CSRP1
CSTB,CSTB
CTBP1,CTBP1
CTBP2,CTBP2
CTCF,CTCF
CTCFL,CTCFL
CTDSP2,CTDSP2
CTDSPL2,CTDSPL2
CTNNA1,CTNNA1
CTNNB1,CTNNB1
CTNND1,CTNND1
CTPS1,CTPS1
CTSB,CTSB
CTSC,CTSC
CTTN,CTTN
CTTNBP2NL,CTTNBP2NL
CUL3,CUL3
CUL4A,CUL4A
CUX1,CUX1
CWC15,CWC15
CWC25,CWC25
CWF19L1,CWF19L1
CX3CL1,CX3CL1
CXADR,CXADR
CXCL1,CXCL1
CXCL16,CXCL16
CXCL2,CXCL2
CXCL8,CXCL8
CXorf38,CXorf38
CYB561A3,CYB561A3
CYB5A,CYB5A
CYB5B,CYB5B
CYB5R3,CYB5R3
CYB5R4,CYB5R4
CYB5RL,CYB5RL
CYBRD1,CYBRD1
CYCS,CYCS
CYLD,CYLD
CYP1B1,CYP1B1
CYP20A1,CYP20A1
CYP3A5,CYP3A5
CYP46A1,CYP46A1
CYP51A1,CYP51A1
CYSLTR1,CYSLTR1
CYSTM1,CYSTM1
CYTB,CYTB
CYTH2,CYTH2
DAAM1,DAAM1
DAB2,DAB2
DACT3,DACT3
DAD1,DAD1
DAP3,DAP3
DAPK2,DAPK2
DARS,DARS
DAZAP2,DAZAP2
DBI,DBI
DBT,DBT
DCAF10,DCAF10
DCAF11,DCAF11
DCAF13,DCAF13
DCAF16,DCAF16
DCAF6,DCAF6
DCBLD2,DCBLD2
DCP1A,DCP1A
DCP1B,DCP1B
DCTN2,DCTN2
DCTN5,DCTN5
DCTN6,DCTN6
DCUN1D1,DCUN1D1
DCUN1D4,DCUN1D4
DDB1,DDB1
DDHD1,DDHD1
DDHD2,DDHD2
DDI2,DDI2
DDOST,DDOST
DDX1,DDX1
DDX10,DDX10
DDX17,DDX17
DDX18,DDX18
DDX19A,DDX19A
DDX21,DDX21
DDX24,DDX24
DDX27,DDX27
DDX39B,DDX39B
DDX3X,DDX3X
DDX42,DDX42
DDX46,DDX46
DDX47,DDX47
DDX5,DDX5
DDX52,DDX52
DDX55,DDX55
DDX6,DDX6
DEGS1,DEGS1
DEK,DEK
DENND3,DENND3
DENND4A,DENND4A
DENND5A,DENND5A
DENR,DENR
DEPDC5,DEPDC5
DERL2,DERL2
DFFA,DFFA
DGKA,DGKA
DGKD,DGKD
DGKE,DGKE
DGKH,DGKH
DGUOK,DGUOK
DHODH,DHODH
DHRS7,DHRS7
DHX15,DHX15
DHX29,DHX29
DHX30,DHX30
DHX36,DHX36
DHX8,DHX8
DHX9,DHX9
DIABLO,DIABLO
DIAPH1,DIAPH1
DICER1,DICER1
DIMT1,DIMT1
DIP2A,DIP2A
DIS3,DIS3
DIS3L,DIS3L
DISP2,DISP2
DKC1,DKC1
DLG1,DLG1
DLG5,DLG5
DMAC2,DMAC2
DMAC2L,DMAC2L
DMD,DMD
DMKN,DMKN
DMTF1,DMTF1
DMWD,DMWD
DNAAF1,DNAAF1
DNAJA1,DNAJA1
DNAJA2,DNAJA2
DNAJA3,DNAJA3
DNAJB14,DNAJB14
DNAJB6,DNAJB6
DNAJB9,DNAJB9
DNAJC10,DNAJC10
DNAJC16,DNAJC16
DNAJC2,DNAJC2
DNAJC21,DNAJC21
DNAJC24,DNAJC24
DNAJC3,DNAJC3
DNAJC7,DNAJC7
DNAJC8,DNAJC8
DNAL1,DNAL1
DNASE1,DNASE1
DNM1L,DNM1L
DNM2,DNM2
DNMT1,DNMT1
DNMT3A,DNMT3A
DNTTIP2,DNTTIP2
DOCK5,DOCK5
DOCK7,DOCK7
DOP1B,DOP1B
DPF2,DPF2
DPH1,DPH1
DPPA4,DPPA4
DPY19L3,DPY19L3
DPY30,DPY30
DPYD,DPYD
DPYSL2,DPYSL2
DR1,DR1
DRAM1,DRAM1
DRAXIN,DRAXIN
DSC2,DSC2
DSEL,DSEL
DSG2,DSG2
DSP,DSP
DST,DST
DSTN,DSTN
DSTYK,DSTYK
DTWD1,DTWD1
DTX3L,DTX3L
DUSP1,DUSP1
DUSP3,DUSP3
DUSP6,DUSP6
DYM,DYM
DYNC1H1,DYNC1H1
DYNC1I2,DYNC1I2
DYNC1LI2,DYNC1LI2
DYNC2LI1,DYNC2LI1
DYNLL1,DYNLL1
DYNLRB1,DYNLRB1
DYNLT1,DYNLT1
DYRK1A,DYRK1A
EAF1,EAF1
EAPP,EAPP
EBNA1BP2,EBNA1BP2
ECD,ECD
ECH1,ECH1
ECHDC1,ECHDC1
ECHDC2,ECHDC2
ECPAS,ECPAS
EDEM1,EDEM1
EDF1,EDF1
EDN1,EDN1
EEF1A1,EEF1A1
EEF1AKMT3,EEF1AKMT3
EEF1B2,EEF1B2
EEF1D,EEF1D
EEF1E1,EEF1E1
EEF1G,EEF1G
EEF2,EEF2
EEF2K,EEF2K
EFCAB11,EFCAB11
EFCAB2,EFCAB2
EFHC1,EFHC1
EFNA1,EFNA1
EFNA5,EFNA5
EFTUD2,EFTUD2
EGFR,EGFR
EGR1,EGR1
EHBP1,EHBP1
EHD2,EHD2
EHMT1,EHMT1
EI24,EI24
EID1,EID1
EIF1,EIF1
EIF1AD,EIF1AD
EIF1AX,EIF1AX
EIF2A,EIF2A
EIF2AK2,EIF2AK2
EIF2AK4,EIF2AK4
EIF2B4,EIF2B4
EIF2S1,EIF2S1
EIF2S2,EIF2S2
EIF2S3,EIF2S3
EIF3A,EIF3A
EIF3B,EIF3B
EIF3C,EIF3C
EIF3D,EIF3D
EIF3E,EIF3E
EIF3F,EIF3F
EIF3G,EIF3G
EIF3H,EIF3H
EIF3I,EIF3I
EIF3J,EIF3J
EIF3K,EIF3K
EIF3L,EIF3L
EIF3M,EIF3M
EIF4A1,EIF4A1
EIF4A2,EIF4A2
EIF4A3,EIF4A3
EIF4B,EIF4B
EIF4E,EIF4E
EIF4E2,EIF4E2
EIF4EBP2,EIF4EBP2
EIF4ENIF1,EIF4ENIF1
EIF4G1,EIF4G1
EIF4G2,EIF4G2
EIF4G3,EIF4G3
EIF4H,EIF4H
EIF5,EIF5
EIF5A,EIF5A
EIF5B,EIF5B
EIF6,EIF6
ELAVL1,ELAVL1
ELF2,ELF2
ELF3,ELF3
ELK3,ELK3
ELK4,ELK4
ELL2,ELL2
ELMOD3,ELMOD3
ELMSAN1,ELMSAN1
ELOB,ELOB
ELOC,ELOC
ELP2,ELP2
ELP4,ELP4
EMBP1,EMBP1
EMC1,EMC1
EMC10,EMC10
EMC3,EMC3
EMC4,EMC4
EML6,EML6
EMP1,EMP1
EMP2,EMP2
ENAH,ENAH
ENO1,ENO1
ENOSF1,ENOSF1
ENSA,ENSA
ENY2,ENY2
EP300,EP300
EPB41,EPB41
EPC1,EPC1
EPM2AIP1,EPM2AIP1
EPN1,EPN1
EPN2,EPN2
EPPK1,EPPK1
EPRS,EPRS
EPS15,EPS15
EPS15L1,EPS15L1
EPS8,EPS8
ERBB2,ERBB2
ERBB3,ERBB3
ERBIN,ERBIN
ERC1,ERC1
ERCC1,ERCC1
ERCC4,ERCC4
ERGIC1,ERGIC1
ERGIC2,ERGIC2
ERGIC3,ERGIC3
ERH,ERH
ERLEC1,ERLEC1
ERN1,ERN1
ERO1A,ERO1A
ERP29,ERP29
ERP44,ERP44
ERRFI1,ERRFI1
ESCO2,ESCO2
ESF1,ESF1
ETF1,ETF1
ETFA,ETFA
ETFBKMT,ETFBKMT
ETFDH,ETFDH
ETNK1,ETNK1
ETS1,ETS1
ETV6,ETV6
EVI5,EVI5
EWSR1,EWSR1
EXOSC10,EXOSC10
EXOSC2,EXOSC2
EXOSC6,EXOSC6
EXOSC8,EXOSC8
EXPH5,EXPH5
EXTL3,EXTL3
EYA1,EYA1
EYA3,EYA3
EZH1,EZH1
EZR,EZR
F11R,F11R
F2RL3,F2RL3
F3,F3
FAAP20,FAAP20
FAAP24,FAAP24
FADS3,FADS3
FAF2,FAF2
FAM114A1,FAM114A1
FAM118A,FAM118A
FAM120A,FAM120A
FAM120AOS,FAM120AOS
FAM122C,FAM122C
FAM126A,FAM126A
FAM126B,FAM126B
FAM133B,FAM133B
FAM160B2,FAM160B2
FAM162A,FAM162A
FAM177A1,FAM177A1
FAM193B,FAM193B
FAM204A,FAM204A
FAM20B,FAM20B
FAM221A,FAM221A
FAM227A,FAM227A
FAM228B,FAM228B
FAM241A,FAM241A
FAM3A,FAM3A
FAM3C,FAM3C
FAM49B,FAM49B
FAM71F2,FAM71F2
FAM76A,FAM76A
FAM83A,FAM83A
FAM83F,FAM83F
FAM91A1,FAM91A1
FAM98C,FAM98C
FANCD2,FANCD2
FARP1,FARP1
FAS,FAS
FAT1,FAT1
FAU,FAU
FBL,FBL
FBLIM1,FBLIM1
FBXL18,FBXL18
FBXL20,FBXL20
FBXO11,FBXO11
FBXO15,FBXO15
FBXO2,FBXO2
FBXO22,FBXO22
FBXO32,FBXO32
FBXO48,FBXO48
FBXO9,FBXO9
FBXW2,FBXW2
FCF1,FCF1
FCRL5,FCRL5
FDFT1,FDFT1
FDPS,FDPS
FEM1A,FEM1A
FER,FER
FERMT2,FERMT2
FEZ2,FEZ2
FGD4,FGD4
FGD6,FGD6
FGF13,FGF13
FGFR1,FGFR1
FGFR1OP,FGFR1OP
FGFR1OP2,FGFR1OP2
FHL2,FHL2
FIBP,FIBP
FKBP14,FKBP14
FKBP1A,FKBP1A
FKBP2,FKBP2
FKBP5,FKBP5
FLCN,FLCN
FLII,FLII
FLNB,FLNB
FLRT2,FLRT2
FLYWCH1,FLYWCH1
FMR1,FMR1
FNBP1,FNBP1
FNBP1L,FNBP1L
FNBP4,FNBP4
FNDC3A,FNDC3A
FNDC3B,FNDC3B
FNIP1,FNIP1
FNTA,FNTA
FOS,FOS
FOSL2,FOSL2
FOXJ3,FOXJ3
FOXK1,FOXK1
FOXN3,FOXN3
FOXO3,FOXO3
FOXP1,FOXP1
FRA10AC1,FRA10AC1
FRG1,FRG1
FRK,FRK
FRMD4A,FRMD4A
FRMD6,FRMD6
FRMD8,FRMD8
FRRS1L,FRRS1L
FRYL,FRYL
FSIP2,FSIP2
FSTL1,FSTL1
FTH1,FTH1
FTL,FTL
FTO,FTO
FUBP1,FUBP1
FUNDC2,FUNDC2
FUS,FUS
FUT11,FUT11
FUT8,FUT8
FXN,FXN
FXR1,FXR1
