ID,Differentiation,Stemness,S_D,Cell_status,weight,State,Sample_title,individual,sampling_site,count_value,Mean_TPM,PseudoTime
SRR7008515,-0.058336571,0.2963851495,0.3547217205,Stemness,3,High_Stemness,L1_I1_LUM_E11,individual 1,luminal,3,33.97614,0.00177173382148421
SRR7008516,-0.1527662005,-0.0059736011,0.1467925994,Stemness,1,Low_Stemness,L1_I1_LUM_E12,individual 1,luminal,12,29.6647188,12.4306342194614
SRR7008517,-0.0611609153,0.0965984255,0.1577593408,Stemness,2,Moderate_Stemness,L1_I1_LUM_F1,individual 1,luminal,13,26.34141415,11.7759852758854
SRR7008518,0.0183587555,0.0781894741,0.0598307186,Differentiation,3,High_Differentiation,L1_I1_LUM_F2,individual 1,luminal,11,23.2707504,12.1000484874971
SRR7008519,-0.2546912217,-0.0806649662,0.1740262555,Stemness,2,Moderate_Stemness,L1_I1_LUM_F3,individual 1,luminal,14,28.5291096667,10.8038405345047
SRR7008520,-0.1244272946,0.0258630411,0.1502903357,Stemness,2,Moderate_Stemness,L1_I1_LUM_F4,individual 1,luminal,11,16.0391206,12.2602972652101
SRR7008521,0.08202642,0.3545887522,0.2725623322,Stemness,3,High_Stemness,L1_I1_LUM_F5,individual 1,luminal,13,12.2979702,11.577244253671
SRR7008522,-0.166737631,0.1781458635,0.3448834945,Stemness,3,High_Stemness,L1_I1_LUM_F6,individual 1,luminal,13,22.3627697,12.4477555556788
SRR7008523,-0.0202474927,0.1227575691,0.1430050618,Stemness,1,Low_Stemness,L1_I1_LUM_F7,individual 1,luminal,11,12.43699,13.8759021196044
SRR7008524,-0.0328824146,-0.0263922794,0.0064901352,Differentiation,3,High_Differentiation,L1_I1_LUM_F8,individual 1,luminal,6,26.127874,13.4973709393485
SRR7008525,-0.2531871602,0.2782841009,0.5314712611,Stemness,3,High_Stemness,L1_I1_LUM_F9,individual 1,luminal,9,127.558743,11.435965556368
SRR7008526,0.1200322275,-0.0606108745,-0.180643102,Differentiation,1,Low_Differentiation,L1_I1_LUM_F10,individual 1,luminal,14,12.9689545,11.5773053479407
SRR7008527,0.0619204282,0.2285584445,0.1666380163,Stemness,2,Moderate_Stemness,L1_I1_LUM_F11,individual 1,luminal,12,134.1864926,11.5773664422104
SRR7008528,-0.0597706299,0.05870831,0.1184789399,Stemness,1,Low_Stemness,L1_I1_LUM_F12,individual 1,luminal,9,1.4158331643,12.0972794600554
SRR7008529,-0.0847671453,0.2579774431,0.3427445884,Stemness,3,High_Stemness,L1_I1_LUM_G1,individual 1,luminal,6,11.8442006,12.5203327875064
SRR7008530,-0.2224649619,0.1050793676,0.3275443295,Stemness,3,High_Stemness,L1_I1_LUM_G2,individual 1,luminal,7,25.7949508,11.881672982255
SRR7008531,-0.2484681294,0.0834499069,0.3319180363,Stemness,3,High_Stemness,L1_I1_LUM_G3,individual 1,luminal,10,31.3854400667,10.8640023060227
SRR7008532,0.0382608814,0.2271599542,0.1888990728,Stemness,2,Moderate_Stemness,L1_I1_LUM_G4,individual 1,luminal,14,21.19380205,10.5926626499684
SRR7008533,-0.4381275074,-0.0520087771,0.3861187303,Stemness,3,High_Stemness,L1_I1_LUM_G5,individual 1,luminal,10,12.1200209333,11.5774275364801
SRR7008534,-0.1896159134,0.314032138,0.5036480514,Stemness,3,High_Stemness,L1_I1_LUM_G6,individual 1,luminal,9,18.3846299667,13.3467592540062
SRR7008535,0.0515388026,0.1712971827,0.1197583801,Stemness,1,Low_Stemness,L1_I1_LUM_G7,individual 1,luminal,7,15.9892732,13.7202318117814
SRR7008536,0.0523678293,0.0850942761,0.0327264468,Differentiation,3,High_Differentiation,L1_I1_LUM_G8,individual 1,luminal,10,24.082314,11.3090826413314
SRR7008537,-0.0128489517,-0.0218770325,-0.0090280808,Differentiation,3,High_Differentiation,L1_I1_LUM_G9,individual 1,luminal,11,15.0706214,11.6265079546522
SRR7008538,0.0533260511,-0.0099807328,-0.0633067839,Differentiation,2,Moderate_Differentiation,L1_I1_LUM_G10,individual 1,luminal,11,24.4067392,11.5096195171702
SRR7008539,0.082410122,0.1068729251,0.0244628031,Differentiation,3,High_Differentiation,L1_I1_LUM_G11,individual 1,luminal,11,31.6083553333,11.308715436697
SRR7008540,0.1980222867,0.1511303527,-0.046891934,Differentiation,2,Moderate_Differentiation,L1_I1_LUM_G12,individual 1,luminal,9,19.0421647,11.3177559347985
SRR7008541,-0.0239167472,0.2505669517,0.2744836989,Stemness,3,High_Stemness,L1_I1_LUM_H1,individual 1,luminal,7,1.8053063429,13.3378606453864
SRR7008542,-0.1137595547,0.0978274095,0.2115869642,Stemness,2,Moderate_Stemness,L1_I1_LUM_H2,individual 1,luminal,13,#DIV/0!,10.8242542150767
SRR7008543,-0.0314928003,0.0520519056,0.0835447059,Stemness,1,Low_Stemness,L1_I1_LUM_H3,individual 1,luminal,10,0.8106970286,13.3288026899424
SRR7008544,-0.3425243233,-0.0343327721,0.3081915512,Stemness,3,High_Stemness,L1_I1_LUM_H4,individual 1,luminal,10,16.7125609333,11.8817340765247
SRR7008545,0.0904722495,0.0743006566,-0.0161715929,Differentiation,2,Moderate_Differentiation,L1_I1_LUM_H5,individual 1,luminal,12,2.4165707929,11.4937212293235
SRR7008546,-0.1710882785,0.1291227682,0.3002110467,Stemness,3,High_Stemness,L1_I1_LUM_H6,individual 1,luminal,8,2.0936451286,13.7202929060511
SRR7008547,0.0971982165,0.1027603026,0.0055620861,Differentiation,3,High_Differentiation,L1_I1_LUM_H7,individual 1,luminal,11,51.4094307,12.105562424209
SRR7008548,-0.0418966764,0.1643959086,0.206292585,Stemness,2,Moderate_Stemness,L1_I1_LUM_H8,individual 1,luminal,12,17.52802505,11.5774886307498
SRR7008549,0.0714088398,0.3036610816,0.2322522418,Stemness,2,Moderate_Stemness,L1_I1_LUM_H9,individual 1,luminal,12,17.6640046,11.4425668628894
SRR7008550,0.0909012345,0.2369692891,0.1460680546,Stemness,1,Low_Stemness,L1_I1_LUM_H10,individual 1,luminal,11,12.1834689,11.5708695525316
SRR7008551,-0.2337878446,-0.2248906477,0.00889719689999999,Differentiation,3,High_Differentiation,L1_I1_LUM_H11,individual 1,luminal,1,0.2088327143,13.760783915114
SRR7008552,-0.0515365417,0.1073155539,0.1588520956,Stemness,2,Moderate_Stemness,L1_I1_LUM_H12,individual 1,luminal,7,44.6386553,13.9025939834178
SRR7008568,-0.2721303118,-0.1484455043,0.1236848075,Stemness,1,Low_Stemness,L2_I1_LUM_B6,individual 1,luminal,0,0,0.00171063955177786
SRR7008571,0.0352773824,0.2246703959,0.1893930135,Stemness,2,Moderate_Stemness,L2_I1_LUM_B9,individual 1,luminal,11,44.9702779,6.48623311109468
SRR7008572,-0.1450054833,0.1648799126,0.3098853959,Stemness,3,High_Stemness,L2_I1_LUM_B10,individual 1,luminal,0,0,0.00164954528207151
SRR7008575,-0.1784485909,-0.1282290641,0.0502195268,Differentiation,3,High_Differentiation,L2_I1_LUM_C1,individual 1,luminal,6,32.9036008,0.00158845101236516
SRR7008577,-0.2524176738,-0.200513734,0.0519039398,Differentiation,3,High_Differentiation,L2_I1_LUM_C3,individual 1,luminal,2,1.0866795714,0.0015273567426588
SRR7008582,-0.122208088,0.056468276,0.178676364,Stemness,2,Moderate_Stemness,L2_I1_LUM_C8,individual 1,luminal,2,61.736165,0.00146626247295245
SRR7008584,0.101631227,0.0559449313,-0.0456862957,Differentiation,2,Moderate_Differentiation,L2_I1_LUM_C10,individual 1,luminal,1,96.47681,0.0014051682032461
SRR7008585,-0.4036533119,0.0698197947,0.4734731066,Stemness,3,High_Stemness,L2_I1_LUM_C11,individual 1,luminal,12,27.1309328,5.8541294001194
SRR7008588,-0.2007585444,0.3486490594,0.5494076038,Stemness,3,High_Stemness,L2_I1_LUM_D2,individual 1,luminal,2,17.3793546,6.38275930140884
SRR7008592,-0.1489135831,0.0403687784,0.1892823615,Stemness,2,Moderate_Stemness,L2_I1_LUM_D6,individual 1,luminal,4,14.670538,0.00134407393353975
SRR7008593,-0.0488970882,0.2317080769,0.2806051651,Stemness,3,High_Stemness,L2_I1_LUM_D7,individual 1,luminal,10,21.7472412,0.00128297966383339
SRR7008594,0.1604441759,0.2700042137,0.1095600378,Stemness,1,Low_Stemness,L2_I1_LUM_D8,individual 1,luminal,1,25.91277,0.00122188539412704
SRR7008598,-0.2032994847,-0.2159875737,-0.012688089,Differentiation,3,High_Differentiation,L2_I1_LUM_D12,individual 1,luminal,1,0.3108976429,0.00116079112442069
SRR7008599,-0.2943914854,-0.0965698675,0.1978216179,Stemness,2,Moderate_Stemness,L2_I1_LUM_E1,individual 1,luminal,2,0.7036257143,0.00109969685471434
SRR7008600,-0.2212389007,-0.2989153932,-0.0776764925,Differentiation,2,Moderate_Differentiation,L2_I1_LUM_E2,individual 1,luminal,0,0,0.00103860258500799
SRR7008605,-0.2878109565,-0.0810793373,0.2067316192,Stemness,2,Moderate_Stemness,L2_I1_LUM_E7,individual 1,luminal,1,109.555,0.000977508315301634
SRR7008607,-0.0691426381,-0.0606549632,0.0084876749,Differentiation,3,High_Differentiation,L2_I1_LUM_E9,individual 1,luminal,7,10.968329,11.5153444427655
SRR7008608,-0.2113406507,0.3626673708,0.5740080215,Stemness,3,High_Stemness,L2_I1_LUM_E10,individual 1,luminal,7,50.9813149,12.3748647648681
SRR7008609,-0.0476284999,0.1185352678,0.1661637677,Stemness,2,Moderate_Stemness,L2_I1_LUM_E11,individual 1,luminal,13,12.9723502,10.818895845397
SRR7008610,0.0924489515,0.0894499987,-0.0029989528,Differentiation,3,High_Differentiation,L2_I1_LUM_E12,individual 1,luminal,9,13.229757,0.000916414045595282
SRR7008611,0.0105008209,0.0953377189,0.084836898,Stemness,1,Low_Stemness,L2_I1_LUM_F1,individual 1,luminal,10,39.0419219,11.1706888467176
SRR7008612,0.0372018108,0.1116599336,0.0744581228,Stemness,1,Low_Stemness,L2_I1_LUM_F2,individual 1,luminal,2,0.5440470214,13.7203540003208
SRR7008613,-0.0891879162,0.162085779,0.2512736952,Stemness,3,High_Stemness,L2_I1_LUM_F3,individual 1,luminal,14,26.3302115,10.8464711262537
SRR7008614,0.0521441082,0.2713576713,0.2192135631,Stemness,2,Moderate_Stemness,L2_I1_LUM_F4,individual 1,luminal,13,167.3998251,11.6994445246211
SRR7008615,-0.0007239169,-0.1291410895,-0.1284171726,Differentiation,2,Moderate_Differentiation,L2_I1_LUM_F5,individual 1,luminal,6,10.7832287,11.7098176866642
SRR7008616,0.0334234756,0.1262376992,0.0928142236,Stemness,1,Low_Stemness,L2_I1_LUM_F6,individual 1,luminal,5,0.8062646357,12.7096444483769
SRR7008617,-0.2186384185,0.1668625987,0.3855010172,Stemness,3,High_Stemness,L2_I1_LUM_F7,individual 1,luminal,8,15.7804827,12.1121681878345
SRR7008618,-0.0080932815,0.2088942249,0.2169875064,Stemness,2,Moderate_Stemness,L2_I1_LUM_F8,individual 1,luminal,4,16.9786079,10.8100415692433
SRR7008619,-0.1001400953,0.2773178857,0.377457981,Stemness,3,High_Stemness,L2_I1_LUM_F9,individual 1,luminal,9,13.6188729,12.069808197976
SRR7008620,0.0287823893,0.1589138205,0.1301314312,Stemness,1,Low_Stemness,L2_I1_LUM_F10,individual 1,luminal,4,18.5290393333,0.00085531977588893
SRR7008621,-0.1096591893,0.0470087293,0.1566679186,Stemness,2,Moderate_Stemness,L2_I1_LUM_F11,individual 1,luminal,1,0.8059960929,12.6813810400141
SRR7008622,0.1276569074,0.1694505927,0.0417936853,Differentiation,3,High_Differentiation,L2_I1_LUM_F12,individual 1,luminal,8,29.4089048,0.623779760933473
SRR7008623,-0.2370156821,0.07406492,0.3110806021,Stemness,3,High_Stemness,L2_I1_LUM_G1,individual 1,luminal,5,1.3537023,13.8583831928553
SRR7008624,-0.3048636941,-0.0342980488,0.2705656453,Stemness,3,High_Stemness,L2_I1_LUM_G2,individual 1,luminal,8,26.1129681,12.6857018554897
SRR7008625,-0.2142306547,0.0438276149,0.2580582696,Stemness,3,High_Stemness,L2_I1_LUM_G3,individual 1,luminal,7,0.92035875,13.7204150945905
SRR7008626,-0.0429830365,0.1978894207,0.2408724572,Stemness,2,Moderate_Stemness,L2_I1_LUM_G4,individual 1,luminal,6,21.810241,12.4993191114647
SRR7008627,-0.079835944,0.3168294193,0.3966653633,Stemness,3,High_Stemness,L2_I1_LUM_G5,individual 1,luminal,6,0.7501828643,13.7204761888602
SRR7008628,-0.0015193773,0.2257665163,0.2272858936,Stemness,2,Moderate_Stemness,L2_I1_LUM_G6,individual 1,luminal,8,1.41065915,12.2877410242361
SRR7008629,0.0567649377,-0.1009630136,-0.1577279513,Differentiation,1,Low_Differentiation,L2_I1_LUM_G7,individual 1,luminal,6,22.4026,13.8688167461755
SRR7008630,0.0518714563,0.0397748556,-0.0120966007,Differentiation,3,High_Differentiation,L2_I1_LUM_G8,individual 1,luminal,9,11.103477,12.2159927788739
SRR7008631,0.0577650122,0.289241859,0.2314768468,Stemness,2,Moderate_Stemness,L2_I1_LUM_G9,individual 1,luminal,9,24.72618525,11.5100916487308
SRR7008632,0.0353907271,-0.0829434656,-0.1183341927,Differentiation,2,Moderate_Differentiation,L2_I1_LUM_G10,individual 1,luminal,13,2.6540259357,11.5868573682206
SRR7008633,-0.0198638297,0.1596561232,0.1795199529,Stemness,2,Moderate_Stemness,L2_I1_LUM_G11,individual 1,luminal,12,11.15560185,10.8007958319276
SRR7008634,0.2988293474,-0.1458291693,-0.4446585167,Differentiation,1,Low_Differentiation,L2_I1_LUM_G12,individual 1,luminal,6,11.4671783,11.5906382522214
SRR7008635,-0.296666976,0.0752194729,0.3718864489,Stemness,3,High_Stemness,L2_I1_LUM_H1,individual 1,luminal,11,10.7041284,13.2645841728871
SRR7008636,0.0581870273,0.1195758298,0.0613888025,Differentiation,3,High_Differentiation,L2_I1_LUM_H2,individual 1,luminal,10,15.99649425,11.4167738298464
SRR7008637,0.084166557,0.1990491181,0.1148825611,Stemness,1,Low_Stemness,L2_I1_LUM_H3,individual 1,luminal,4,0.4475719,12.6216297439282
SRR7008638,-0.2924104642,0.2137909344,0.5062013986,Stemness,3,High_Stemness,L2_I1_LUM_H4,individual 1,luminal,2,0.2154947929,13.7205372831299
SRR7008639,-0.0780856637,-0.0164641109,0.0616215528,Differentiation,3,High_Differentiation,L2_I1_LUM_H5,individual 1,luminal,11,19.9151304,9.94624639203706
SRR7008640,0.0375436858,0.271840416,0.2342967302,Stemness,2,Moderate_Stemness,L2_I1_LUM_H6,individual 1,luminal,7,28.306321,11.3178170290682
SRR7008641,-0.0580224985,0.1092997938,0.1673222923,Stemness,2,Moderate_Stemness,L2_I1_LUM_H7,individual 1,luminal,3,0.1477133643,13.7205983773996
SRR7008642,0.0215116261,0.0528259131,0.031314287,Differentiation,3,High_Differentiation,L2_I1_LUM_H8,individual 1,luminal,7,13.1379088,12.0919318777191
SRR7008643,0.0312869689,0.2011674625,0.1698804936,Stemness,2,Moderate_Stemness,L2_I1_LUM_H9,individual 1,luminal,12,34.1648818,11.5775497250195
SRR7008644,0.0118026272,0.0291897794,0.0173871522,Differentiation,3,High_Differentiation,L2_I1_LUM_H10,individual 1,luminal,4,0.7827777286,13.7206594716693
SRR7008645,-0.0038247092,0.1021453537,0.1059700629,Stemness,1,Low_Stemness,L2_I1_LUM_H11,individual 1,luminal,8,1.62071215,12.3004395409907
SRR7008646,-0.0070259755,0.1484143931,0.1554403686,Stemness,2,Moderate_Stemness,L2_I1_LUM_H12,individual 1,luminal,12,20.182467,10.3454108825572
SRR7008682,0.1595928367,0.2279703511,0.0683775144,Stemness,1,Low_Stemness,L4_I1_LUM_A1,individual 1,luminal,13,26.9425106,10.539256552876
SRR7008684,-0.0247683956,0.0696607123,0.0944291079,Stemness,1,Low_Stemness,L4_I1_LUM_A3,individual 1,luminal,4,20.0965805,13.720720565939
SRR7008685,-0.1109457249,0.1752927807,0.2862385056,Stemness,3,High_Stemness,L4_I1_LUM_A4,individual 1,luminal,9,33.59862906,0.000794225506182578
SRR7008686,-0.2043310666,-0.2762963482,-0.0719652816,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_A5,individual 1,luminal,13,16.50926848,10.7455259238436
SRR7008687,0.430841982,0.2196466367,-0.2111953453,Differentiation,1,Low_Differentiation,L4_I1_LUM_A6,individual 1,luminal,5,10.7159513,0.000733131236476225
SRR7008688,-0.1882299152,-0.1708392762,0.017390639,Differentiation,3,High_Differentiation,L4_I1_LUM_A7,individual 1,luminal,8,20.05000645,0.0636037000932923
SRR7008689,0.1264944233,0.1581398253,0.031645402,Differentiation,3,High_Differentiation,L4_I1_LUM_A8,individual 1,luminal,14,17.3898027,10.4531102297814
SRR7008691,-0.0694911913,-0.0705548866,-0.0010636953,Differentiation,3,High_Differentiation,L4_I1_LUM_A11,individual 1,luminal,3,0.4675465,0.000672036966769873
SRR7008692,-0.0092657877,-0.057388201,-0.0481224133,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_A12,individual 1,luminal,2,1.6142266214,13.7815088771774
SRR7008693,-0.1499207986,-0.3006807153,-0.1507599167,Differentiation,1,Low_Differentiation,L4_I1_LUM_B1,individual 1,luminal,13,27.1244955,0.665166376040133
SRR7008694,0.1199330734,0.2255708257,0.1056377523,Stemness,1,Low_Stemness,L4_I1_LUM_B2,individual 1,luminal,14,36.0279972,10.3869475189946
SRR7008695,-0.2052173282,0.0688497153,0.2740670435,Stemness,3,High_Stemness,L4_I1_LUM_B3,individual 1,luminal,5,1.0421464071,0.000610942697063521
SRR7008696,0.0136728083,0.1769428242,0.1632700159,Stemness,2,Moderate_Stemness,L4_I1_LUM_B4,individual 1,luminal,13,22.159306,10.8641548076509
SRR7008697,-0.0695539229,-0.1467744288,-0.0772205059,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_B5,individual 1,luminal,14,146.0525911,0.610470919304196
SRR7008698,-0.014418542,0.190197403,0.204615945,Stemness,2,Moderate_Stemness,L4_I1_LUM_B6,individual 1,luminal,14,11.5700669,10.4649726905405
SRR7008699,-0.0745440806,-0.0757664815,-0.00122240089999999,Differentiation,3,High_Differentiation,L4_I1_LUM_B7,individual 1,luminal,13,29.0236324,10.4387675817378
SRR7008700,-0.1216131957,-0.0271864848,0.0944267109,Stemness,1,Low_Stemness,L4_I1_LUM_B10,individual 1,luminal,13,25.3953385333,10.2764510364159
SRR7008701,0.0918350939,0.0040519198,-0.0877831741,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_B11,individual 1,luminal,14,19.8796343333,10.608084272153
SRR7008702,-0.0205269474,0.1083128475,0.1288397949,Stemness,1,Low_Stemness,L4_I1_LUM_B12,individual 1,luminal,7,12.0716793333,10.8188861853936
SRR7008703,0.1202684411,-0.3381625976,-0.4584310387,Differentiation,1,Low_Differentiation,L4_I1_LUM_C1,individual 1,luminal,7,35.582677,0.665227470309839
