ID,Differentiation,Stemness,S_D,Cell_status,weight,State,Sample_title,individual,sampling_site,count_value,Mean_TPM,PseudoTime
SRR7008704,0.2736418158,0.0822468695,-0.1913949463,Differentiation,1,Low_Differentiation,L4_I1_LUM_C4,individual 1,luminal,13,11.4437977,10.8642159019206
SRR7008705,0.2223422949,0.0212384439,-0.201103851,Differentiation,1,Low_Differentiation,L4_I1_LUM_C5,individual 1,luminal,14,20.95506055,10.7884377756725
SRR7008711,-0.0745004398,-0.2801715792,-0.2056711394,Differentiation,1,Low_Differentiation,L4_I1_LUM_D1,individual 1,luminal,14,10.6344534,10.6274418871234
SRR7008715,0.0922850493,0.1328985372,0.0406134879,Differentiation,3,High_Differentiation,L4_I1_LUM_D6,individual 1,luminal,11,24.94768332,0.000549848427357169
SRR7008716,-0.1031979925,0.2823333876,0.3855313801,Stemness,3,High_Stemness,L4_I1_LUM_D7,individual 1,luminal,11,1.4394768814,0.000488754157650817
SRR7008718,-0.1716494854,0.1073229445,0.2789724299,Stemness,3,High_Stemness,L4_I1_LUM_D10,individual 1,luminal,6,0.3671566957,0.000427659887944465
SRR7008720,0.1904557667,-0.1808432794,-0.3712990461,Differentiation,1,Low_Differentiation,L4_I1_LUM_E1,individual 1,luminal,12,22.89366375,12.1197451046364
SRR7008721,-0.0710185762,-0.1293404328,-0.0583218566,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_E2,individual 1,luminal,12,19.486829705,0.000366565618238113
SRR7008722,-0.1699411501,-0.1322228497,0.0377183004,Differentiation,3,High_Differentiation,L4_I1_LUM_E3,individual 1,luminal,13,41.7024743,10.6651667709582
SRR7008723,-0.2033248771,-0.2459053366,-0.0425804595,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_E5,individual 1,luminal,13,3.0170642071,10.609480775678
SRR7008724,-0.0570284811,-0.2103210446,-0.1532925635,Differentiation,1,Low_Differentiation,L4_I1_LUM_E6,individual 1,luminal,14,31.54419785,10.0172911514111
SRR7008725,-0.1131405401,-0.0708047763,0.0423357638,Differentiation,3,High_Differentiation,L4_I1_LUM_E7,individual 1,luminal,8,0.5211992214,0.000305471348531761
SRR7008726,-0.3008675282,-0.0908194736,0.2100480546,Stemness,2,Moderate_Stemness,L4_I1_LUM_E8,individual 1,luminal,11,10.5575852,12.2924144426535
SRR7008727,-0.2176603524,0.0043504648,0.2220108172,Stemness,2,Moderate_Stemness,L4_I1_LUM_E10,individual 1,luminal,11,18.7640259,13.2508021441053
SRR7008728,0.0624517355,0.1794502518,0.1169985163,Stemness,1,Low_Stemness,L4_I1_LUM_E11,individual 1,luminal,8,19.0472577233,0.000244377078825408
SRR7008729,-0.2234424652,0.044152583,0.2675950482,Stemness,3,High_Stemness,L4_I1_LUM_E12,individual 1,luminal,6,0.2029159521,13.7207816602087
SRR7008730,-0.2144322191,-0.034170518,0.1802617011,Stemness,2,Moderate_Stemness,L4_I1_LUM_F1,individual 1,luminal,13,18.57376296,10.4250797490834
SRR7008731,-0.1332618105,0.0049178384,0.1381796489,Stemness,1,Low_Stemness,L4_I1_LUM_F2,individual 1,luminal,12,1.7269079293,13.7208427544784
SRR7008733,0.1144927361,0.0390079963,-0.0754847398,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_F6,individual 1,luminal,11,13.6769853767,13.7209038487481
SRR7008734,-0.033462469,-0.0663407946,-0.0328783256,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_F8,individual 1,luminal,13,13.3878176,12.3768139730227
SRR7008736,-0.1119443326,-0.0714237737,0.0405205589,Differentiation,3,High_Differentiation,L4_I1_LUM_F10,individual 1,luminal,5,11.3533198,13.7209649430178
SRR7008738,-0.0074697176,-0.1952675171,-0.1877977995,Differentiation,1,Low_Differentiation,L4_I1_LUM_G1,individual 1,luminal,7,155.4761485,0.180374759837773
SRR7008739,-0.0506707209,-0.015566171,0.0351045499,Differentiation,3,High_Differentiation,L4_I1_LUM_G2,individual 1,luminal,10,25.27790175,10.8327638482361
SRR7008741,-0.2514075057,-0.320560557,-0.0691530513,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_G4,individual 1,luminal,2,0.05494215,0.000183282809119056
SRR7008743,0.3096319466,-0.0020857603,-0.3117177069,Differentiation,1,Low_Differentiation,L4_I1_LUM_G6,individual 1,luminal,14,129.4311191,10.6917846017207
SRR7008744,-0.1960546956,0.0462154889,0.2422701845,Stemness,3,High_Stemness,L4_I1_LUM_G10,individual 1,luminal,2,0.0429605286,0.000122188539412704
SRR7008746,0.0402096621,-0.0230617854,-0.0632714475,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_H1,individual 1,luminal,10,29.5817055,13.5451688547414
SRR7008748,0.0925267609,-0.0244187528,-0.1169455137,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_H5,individual 1,luminal,1,0.1913567143,6.10942697063521e-05
SRR7008750,-0.097146608,-0.1879819554,-0.0908353474,Differentiation,2,Moderate_Differentiation,L4_I1_LUM_H10,individual 1,luminal,14,23.46543065,10.349443588068
SRR7008751,-0.3735908703,-0.3438724243,0.029718446,Differentiation,3,High_Differentiation,L4_I1_LUM_H11,individual 1,luminal,9,0.3241559664,0
SRR7008752,-0.393069616,-0.2550231132,0.1380465028,Stemness,1,Low_Stemness,L4_I1_LUM_H12,individual 1,luminal,7,0.3506662143,0.03737597339701
SRR7008830,-0.3812107008,-0.1790668474,0.2021438534,Stemness,2,Moderate_Stemness,L2_I2_LUM_A2,individual 2,luminal,3,0.0886061643,6.10942697063521e-05
SRR7008831,0.0029684528,-0.1443148903,-0.1472833431,Differentiation,1,Low_Differentiation,L2_I2_LUM_A3,individual 2,luminal,12,14.9693888,6.36641517968552
SRR7008832,0.0705002119,-0.1141767094,-0.1846769213,Differentiation,1,Low_Differentiation,L2_I2_LUM_A4,individual 2,luminal,11,27.6664892,6.32564594780427
SRR7008833,-0.1450482173,-0.1948738311,-0.0498256138,Differentiation,2,Moderate_Differentiation,L2_I2_LUM_A5,individual 2,luminal,10,0.9721998786,0.000122188539412704
SRR7008834,0.0207394893,-0.272003925,-0.2927434143,Differentiation,1,Low_Differentiation,L2_I2_LUM_A6,individual 2,luminal,14,30.95312504,5.31860029065845
SRR7008835,-0.1650599017,-0.0024102551,0.1626496466,Stemness,2,Moderate_Stemness,L2_I2_LUM_A7,individual 2,luminal,13,13.91873995,6.35127913951986
SRR7008836,-0.0138924139,-0.0270998006,-0.0132073867,Differentiation,2,Moderate_Differentiation,L2_I2_LUM_A8,individual 2,luminal,13,32.540665725,5.31866138492816
SRR7008837,-0.0344011598,-0.0187993209,0.0156018389,Differentiation,3,High_Differentiation,L2_I2_LUM_A9,individual 2,luminal,10,14.7078333,6.30025304446816
SRR7008838,-0.2178249895,-0.3611361558,-0.1433111663,Differentiation,1,Low_Differentiation,L2_I2_LUM_A10,individual 2,luminal,11,10.760324,5.85320283984602
SRR7008839,-0.3830826412,-0.0767367306,0.3063459106,Stemness,3,High_Stemness,L2_I2_LUM_A11,individual 2,luminal,13,12.3843449,6.43459160351435
SRR7008840,-0.224667947,-0.3110196655,-0.0863517185,Differentiation,2,Moderate_Differentiation,L2_I2_LUM_A12,individual 2,luminal,14,31.1396855,5.85285573829155
SRR7008841,-0.215907185,-0.218251344,-0.00234415900000001,Differentiation,3,High_Differentiation,L2_I2_LUM_B1,individual 2,luminal,11,1.5178369929,6.30031413873787
SRR7008842,0.0013807065,0.0181176155,0.016736909,Differentiation,3,High_Differentiation,L2_I2_LUM_B2,individual 2,luminal,9,157.9894805,0.000183282809119056
SRR7008843,-0.0852739905,0.244714253,0.3299882435,Stemness,3,High_Stemness,L2_I2_LUM_B3,individual 2,luminal,9,47.1480585,0.000244377078825408
SRR7008844,-0.168857445,-0.1526228064,0.0162346386,Differentiation,3,High_Differentiation,L2_I2_LUM_B4,individual 2,luminal,12,22.159962725,5.30760262752331
SRR7008845,-0.3026066701,-0.0270830928,0.2755235773,Stemness,3,High_Stemness,L2_I2_LUM_B5,individual 2,luminal,12,13.8951888,5.85654632378037
SRR7008846,-0.036592377,0.2833571818,0.3199495588,Stemness,3,High_Stemness,L2_I2_LUM_B6,individual 2,luminal,10,127.7310817,6.30037523300757
SRR7008847,-0.3015617339,-0.0266189746,0.2749427593,Stemness,3,High_Stemness,L2_I2_LUM_B7,individual 2,luminal,11,19.6279849,6.76689495519212
SRR7008848,-0.0352278057,0.0320672575,0.0672950632,Stemness,1,Low_Stemness,L2_I2_LUM_B8,individual 2,luminal,14,23.08070126,6.30043632727728
SRR7008849,-0.2633715686,-0.0480440866,0.215327482,Stemness,2,Moderate_Stemness,L2_I2_LUM_B9,individual 2,luminal,13,14.8547991,6.0364053055068
SRR7008850,0.0239086644,0.0862605427,0.0623518783,Differentiation,3,High_Differentiation,L2_I2_LUM_B10,individual 2,luminal,8,16.2851540333,6.30049742154699
