tumor_stage,Label_1,Label_2,Label_3,Label_4,Label_5
not reported,0.9395973154,0.9174311927,1.219512195,0,0
stage i,8.859060403,8.71559633,10.97560976,5,0
stage ia,7.651006711,8.256880734,8.536585366,15,0
stage ib,0.5369127517,0,1.219512195,0,0
stage ii,0.4026845638,0.4587155963,1.219512195,0,0
stage iia,31.67785235,32.11009174,40.24390244,25,50
stage iib,25.63758389,22.01834862,15.85365854,30,50
stage iii,0.1342281879,0.4587155963,0,0,0
stage iiia,12.75167785,18.34862385,12.19512195,15,0
stage iiib,2.147651007,1.834862385,1.219512195,5,0
stage iiic,6.44295302,5.04587156,3.658536585,5,0
stage iv,2.147651007,0.4587155963,2.43902439,0,0
stage x,0.6711409396,1.376146789,1.219512195,0,0
