tumor_stage,Label_1,Label_2,Label_3,Label_4,Label_5
not reported,0.8547008547,1.470588235,0,0.6666666667,0
stage i,8.974358974,7.843137255,0,10.66666667,0
stage ia,6.695156695,6.862745098,31.57894737,11.33333333,0
stage ib,0.5698005698,0,0,0.6666666667,0
stage ii,0.2849002849,0.4901960784,0,1.333333333,0
stage iia,32.76353276,34.80392157,21.05263158,26.66666667,80
stage iib,25.35612536,20.58823529,10.52631579,27.33333333,20
stage iii,0.1424501425,0.4901960784,0,0,0
stage iiia,13.53276353,16.66666667,26.31578947,10,0
stage iiib,1.709401709,3.431372549,0,2.666666667,0
stage iiic,6.125356125,5.392156863,5.263157895,6,0
stage iv,2.421652422,0.9803921569,5.263157895,0.6666666667,0
stage x,0.5698005698,0.9803921569,0,2,0
