Cell_Ids,Cluster,OR10A2,OR10G3,OR10H1,OR10H5,OR10J1,OR10K1,OR14J1,OR1A1,OR1D2,OR1I1,OR1M1,OR2A5,OR2AG1,OR2AG2,OR2AT4,OR2B11,OR2F1,OR2G6,OR2L2,OR2M3,OR2M4,OR2T12,OR2V2,OR4D1,OR4D9,OR4F17,OR4K13,OR4K17,OR4K2,OR51M1,OR52A1,OR52E4,OR52I1,OR52K1,OR56A1,OR56A4,OR5A1,OR5A2,OR5AS1,OR5AU1,OR5H14,OR6C75,OR6J1,OR6K3,OR6Y1,OR7A17,OR7C1,OR7D2,OR7D4,OR7G2,OR8A1,OR8B8,OR8H1
SRR2973289,6, 0.060364, 4.633284, 0.394581, 0.753773, 0.668358, 0.228902, 2.257209, 1.807562, 1.238493, 1.249804, 1.818708, 2.045512, 0.415534, 1.104075, 1.241362, 3.291160,33.291938, 0.564202, 0.000000, 3.280460, 1.340448, 0.131446, 0.269212, 0.123415, 0.542856,17.884508, 0.047112, 0.650482, 0.000000, 0.000000, 0.301885, 2.080164, 0.866467, 1.651719, 0.000000, 0.228592, 0.339426, 0.245553, 2.191774, 0.035290, 0.032819, 7.329555, 0.070098, 0.585498, 1.149011, 0.571760, 4.470005, 0.688132, 0.715506, 0.941410, 0.742331, 0.000000, 0.000000
SRR2973290,6,  0.039491,  2.728722,  0.898238,  1.313099,  0.118808,  0.116173,  1.083522,  3.550256,  0.845718,  1.390182,  0.643013,  0.041311,  0.141379,  0.647274,  1.325764,  0.592677,265.165134,  0.394685,  0.132318,  4.140167,  0.554316,  0.263264,  0.051294,  2.239512,  0.366845,  9.746523,  0.000000,  1.848101,  0.109703,  0.221088,  0.000000,  0.286613,  2.795809,  1.772092,  0.664294,  0.057111,  0.204859,  0.112660,  0.784704,  0.060580,  0.023375,  4.771071,  0.181136,  1.908501,  2.661262,  0.337952,  0.780636,  0.758435,  0.280624,  0.815703,  0.242870,  0.054703,  0.624493
SRR2973291,6, 0.000000, 3.633140, 0.571428, 1.282518, 0.307446, 0.428004, 0.536613, 3.182658,10.546875, 1.274732, 1.338728, 4.133912, 0.029579, 0.000000, 6.844834, 0.077015, 0.000000, 0.501990, 0.449749, 8.443755, 3.304587, 0.120393, 0.219428, 0.536620, 0.695394,21.845538, 0.208760, 1.151874, 0.417305, 0.223867, 0.106180, 0.910608, 0.420343, 0.000000, 1.033042, 0.226241, 0.515351, 0.951195, 3.112930, 0.065525, 0.000000,12.032656, 0.490049, 0.577830, 0.000000, 0.000000, 0.591018, 1.101530, 0.058321, 3.743964, 0.795390, 0.261228, 0.000000
SRR2973292,6, 0.137509, 1.395718, 1.120735, 1.053602, 0.000000, 0.352216, 0.478022, 2.043439, 1.188853, 1.139411, 0.566782, 2.498201, 0.000000, 0.390537, 1.436625, 0.041425, 0.000000, 1.361024, 0.318947, 2.321772, 0.568091, 0.142591, 2.418167, 2.627723, 0.628771,13.004594, 0.196175, 0.524850, 0.125374, 0.000000, 0.000000, 0.000000, 0.821348, 0.000000, 0.581479, 0.000000, 0.148745, 0.067997, 1.084910, 1.852286,21.876995, 1.572901, 0.879669, 2.605694, 0.058184, 0.295388, 0.048099, 0.082288, 2.567551, 0.953059, 0.000000, 0.067793, 0.000000
SRR2973293,6, 0.143001, 2.258348, 0.082431, 0.993050, 0.000000, 0.656538, 0.325938, 0.348807, 0.055149, 2.973076, 0.000000,70.370228, 0.032598, 0.130622, 0.040569, 0.000000, 0.000000, 0.048543, 0.723385, 0.281616, 0.319771, 0.192176, 0.071344, 0.062877, 1.249258, 1.420091, 0.000000, 0.332242, 0.000000, 3.190056, 0.000000, 0.000000, 0.098387, 0.179190, 0.916587, 0.000000,18.020629, 0.000000, 0.687144, 4.900138, 0.000000, 0.481543, 0.000000, 1.602571, 0.000000, 0.000000, 1.876191, 0.807443, 0.000000, 0.606550, 0.000000, 0.000000, 0.000000
SRR2973294,6,0.085940,0.000000,0.090362,0.363630,0.209721,0.692837,0.750961,0.175134,2.611583,0.576897,0.948822,0.000000,0.110556,0.000000,1.237126,0.075059,4.302986,0.273800,0.060352,5.109754,0.512973,0.072726,0.192834,0.056824,0.526009,5.826870,0.116231,0.241045,0.156363,0.000000,6.529326,0.139305,0.279696,0.000000,0.423523,0.000000,0.182897,0.311308,1.399005,0.000000,0.000000,1.205995,0.178935,0.433854,0.774263,0.000000,0.021191,1.119367,0.000000,0.418736,0.256853,0.641002,1.767876
SRR2973295,6, 0.000000, 5.195081, 1.717119, 0.143514, 0.200698, 1.390842, 0.198548, 0.334252, 0.901320, 0.311035, 0.000000, 7.580517, 0.000000, 0.066403, 1.278597, 0.000000,32.832661, 0.423485, 0.528511, 2.006469, 0.467002, 0.128184, 0.000000, 0.731198, 0.000000, 3.467460, 0.046265, 0.000000, 0.000000, 0.000000, 0.098632, 0.168427, 0.000000, 0.000000, 1.763106, 0.000000, 0.742323, 0.715842, 3.411730, 0.000059, 0.099531, 0.948519, 0.577668, 0.488204, 1.295158, 0.240720, 0.023491, 0.216659, 0.000000, 0.252067, 0.082188, 0.000000, 0.229287
SRR2973297,6, 0.000000, 0.925497, 1.081024, 0.188337, 0.141259, 0.614008, 2.492342, 1.037435, 0.429304, 0.268165, 1.439025,12.161202, 0.327116, 0.111586, 0.243179, 0.173438, 0.000000, 5.374020, 0.054842, 1.965626, 0.727538, 0.099276, 0.066931, 0.000000, 0.861568, 8.420055, 0.202175, 0.295965, 0.120970, 0.000000, 0.022977, 0.070501, 0.607719, 0.126904, 0.530257, 0.000000, 0.387788, 0.157325, 2.679131, 0.390132, 0.027220, 2.239997, 0.000000, 1.425191, 0.520365, 1.934265, 0.745764, 3.876985, 0.000000, 0.000000, 0.204025, 0.207052, 0.341301
SRR2973298,6, 0.000000, 0.000000, 0.278387, 0.901778, 0.061646, 0.385202, 0.059004, 0.922069, 0.043905, 0.490359, 0.000000, 0.000000, 0.000000, 0.370557, 0.821227, 0.000000, 4.743355,23.769179, 0.042602, 2.430424, 1.148436,10.937107, 0.000000, 3.193526, 0.420157, 1.829763, 0.000000, 0.000000, 0.025267, 0.000000, 0.018489, 0.060783, 0.068608, 0.034565, 0.144806, 0.225483, 0.168998, 0.055950, 0.851566, 0.707531, 0.000000, 0.084384, 0.115398, 0.343803, 0.000000, 0.000000, 0.016347, 0.000000, 0.652936, 0.000000, 0.000000, 0.000000, 0.000000
SRR2973299,6, 0.252118, 1.784127, 1.362574, 0.476954, 0.137297, 0.000000, 2.793761, 1.203223, 0.062572, 2.876429, 0.000000,24.339609, 0.033443, 0.220369, 1.864541, 0.050792,26.988569, 3.747472, 8.211796, 1.261845, 0.046572, 0.403613, 0.000000, 0.211975, 0.137617, 8.082546, 0.046950, 0.792346, 0.072844, 0.000000, 0.055155, 0.607693, 0.000000, 0.685110, 0.034144, 0.087360, 0.306890, 0.761190, 2.506739, 4.008620, 0.728932, 1.044494, 0.102254, 1.321636, 3.338639, 0.821650, 5.109599, 1.700646, 0.064029, 1.504153, 0.743006, 0.000000, 0.657667
SRR2973300,3, 0.231903, 6.977072, 8.181411, 3.711383, 0.750868, 1.643731, 6.225313, 5.172700, 6.854946, 2.046132, 0.264518, 6.361068, 0.000000, 0.279676, 3.766559, 0.194299,18.717271, 6.960335, 0.367746,11.062969, 0.993232, 0.893924, 0.482299, 0.092803, 4.881389, 6.276560, 0.065860, 0.803302, 0.277747, 0.000000, 0.815875, 3.898349, 0.845801, 1.240313, 0.042596, 3.584202, 1.285927, 0.787378, 9.428749, 0.144173, 0.436821, 5.569567, 0.115058, 0.000000, 2.697506, 2.482211, 2.352774, 0.211078, 2.105797, 2.376179, 3.841550, 0.229672, 0.955561
SRR2973301,3, 0.146056,10.845910, 2.830744, 1.135343, 0.380214, 1.678678, 1.146787, 4.692355, 3.333470, 2.597666, 0.000000, 6.799956, 0.564391, 0.179144, 0.300493, 0.000000, 2.418434,29.039505, 0.763413, 9.298329, 0.132446, 0.370187, 0.000000, 0.952594, 2.772555, 4.738675, 0.000000, 2.304334, 0.105158, 0.284197, 0.000000, 0.000000,46.784439, 0.000000, 0.086933, 1.676363, 2.486319, 0.359318, 1.765689, 1.956595, 0.049526,16.531903, 0.000000, 6.547031, 0.427020, 0.914755, 5.111289, 0.263588, 0.531388, 0.354634, 0.061291, 0.111879, 1.171813
SRR2973303,3, 0.000000,15.409665, 0.671495, 0.872079, 1.378005, 0.538299, 1.043907, 9.090364, 0.638050, 5.739386, 1.661160, 0.187275, 0.275868, 0.522531, 5.130784, 0.000000, 0.000000, 0.081500, 1.964650,12.770314, 0.933315, 0.721339, 0.486116, 0.194055, 1.660599,46.986946, 0.280573, 0.518362, 0.000000, 0.659041, 0.042667, 0.000000, 6.184755, 1.453153, 1.358290, 0.706127, 1.202072, 0.669551, 5.361969, 0.306267, 0.972654,13.928882, 0.378280, 0.245589, 2.067516, 0.626107, 0.036125, 6.919381, 1.197613, 2.188512, 2.779061, 0.000000, 1.655835
SRR2973305,3, 0.592223,13.871857, 3.017937, 1.352405, 0.839976, 0.762769, 3.883771, 4.832593, 7.386454, 4.442558, 2.388653, 9.566098, 0.252792, 1.496904, 7.210654, 1.598984, 4.514416, 1.104183, 0.364489,13.202033, 0.403024, 1.266740, 6.170766, 1.054919, 5.130662,52.093732, 0.592158, 1.047552, 0.381009, 0.659789, 0.114162, 7.308810, 7.452535, 7.180505, 2.367719, 1.109390, 1.479988, 1.464377,10.947872, 0.699170, 0.094231,12.438839, 0.456819, 0.700465, 2.496454, 2.499944, 0.692911, 3.283324, 3.277129, 3.193435, 5.983269, 0.238545, 0.616797
SRR2973306,3, 0.116486, 3.121432, 1.869981, 2.948975, 0.129056, 0.882009, 2.787826, 0.985087, 1.417339, 6.339648, 0.488881, 0.883688, 0.148197, 0.000000, 4.374286, 0.875791, 2.121301, 0.543570,39.397428, 7.584140, 1.262178, 0.278658, 1.358887, 0.000000, 1.669035,14.729587, 0.385702, 0.231992, 0.000000, 0.464039, 0.037275, 0.119994, 1.277460, 1.237472, 0.000000, 9.024571, 1.532842, 2.931333, 5.425784, 0.211739, 0.249768,18.071514, 2.571841, 0.000000, 0.618753, 2.301616, 0.401697, 0.036544, 0.531937, 1.139161, 0.000000, 0.211708, 0.603754
SRR2973307,3, 0.128427, 2.228673, 1.382865, 2.447693, 0.132515, 1.618736, 3.648691, 5.182728, 1.070449, 2.813126, 3.421201, 0.312517, 0.000000, 0.168734, 5.367474, 0.444324, 9.876804, 6.690864, 4.544249,10.174176, 0.188567, 0.444471, 6.100182, 0.409054, 2.106644, 6.628520, 0.535514, 0.528769, 0.735269, 1.978073, 0.000000, 0.213803, 7.816990, 1.051440, 3.198060, 2.167954, 1.767136, 3.251598, 6.481139, 0.096858, 0.090320, 1.701422, 0.620625, 1.947642, 4.387081, 0.221964, 2.851943, 6.928713, 0.253688, 0.883893, 0.184478, 0.324440, 0.744650
SRR2973309,3, 2.752412, 1.767611, 0.218898, 4.754424, 0.503814, 4.554452, 6.209313, 6.033355,12.913664, 2.451986, 6.183343,86.627153, 0.317052, 0.384677, 8.330957, 2.544524, 0.123369,13.646111, 2.657200,16.880892, 4.721236, 0.912432, 1.537007, 0.507889, 0.522766,11.796552, 0.000000, 0.444618, 0.367015, 3.120086, 0.361388, 1.347142, 3.531996, 1.872519, 2.700018, 0.000000, 4.615278, 0.132731, 8.466543, 0.203526, 0.132397, 8.425247, 0.310707, 1.554115, 4.877634, 0.184013,61.679291, 0.370498, 0.000000, 0.232077, 2.587858, 0.305327, 0.549447
SRR2973311,3, 0.000000, 0.320368, 0.093892, 0.971618, 0.000000, 0.997360, 2.997807, 1.039033, 0.168053, 4.058458, 0.820982, 0.000000, 0.000000, 0.060033, 0.094020, 0.306525, 0.000000, 0.088459, 0.000000, 5.946753, 0.129134, 0.552265, 0.279634, 0.123686, 0.136782,35.864160, 0.419953, 0.051155, 0.000000, 0.000000, 0.000000, 0.223352, 0.320983, 2.057495, 0.088484, 0.284425, 0.779424, 0.188347, 4.867062, 1.082121, 0.094717, 0.654478, 0.566558, 1.401393, 0.480285, 1.480318, 0.060617, 0.162660, 0.480453, 0.339354, 1.948360, 0.069500, 0.415518
SRR2973312,3, 0.082109,12.380398, 2.007849, 0.153515, 0.602509, 3.290729, 5.594882, 5.952725, 1.586987, 8.252126, 2.517332,17.698415, 0.047479, 0.259892, 2.090831, 0.000000, 0.561724, 2.838748, 0.237623,15.543252, 0.058880, 0.300485, 0.104431, 0.081962, 1.297088,21.185298, 0.057956, 1.989046, 0.986579, 0.294624, 0.070440, 1.543086, 0.827001, 3.616476, 1.884819, 1.010830, 1.364387, 0.304392, 3.907850, 0.129374, 0.338609, 2.744738, 0.200274, 0.000000, 0.881395, 0.108268, 0.101004, 4.938893, 2.207972, 0.838745, 2.094976, 0.656893, 0.910478
SRR2973314,3, 0.180314, 4.339953, 0.492784, 2.174274, 0.000000, 1.883004, 0.820172, 3.006524, 2.797424, 3.205838, 1.073530, 0.035405, 0.231635, 0.000000, 2.260369, 0.355947, 5.183105, 0.076644, 0.584522, 8.460505, 1.639527, 0.108868, 0.092506, 0.000000, 1.349630, 1.595501, 0.000000, 0.564665, 1.127202, 0.236510, 0.000000, 0.097786, 2.197256, 1.637486, 1.612022, 0.000000, 1.238264, 2.229350, 2.571523, 1.896084, 0.000000,16.003129, 1.316071, 0.000000, 0.000000, 0.726074, 0.185293, 0.502746, 0.289395, 0.778492, 0.194057, 0.085496, 0.000000
SRR2973315,3, 0.000000, 8.919831, 1.348168, 0.687226, 0.104444, 0.138580, 0.948273, 1.092055, 1.330397, 2.047948, 2.305020, 5.011536, 0.263779, 0.075785, 6.903096, 4.003809, 1.845684, 0.000000, 0.217104, 5.218072, 1.230886, 0.155650, 0.287845, 1.251166, 4.844813,51.956373, 0.000000, 0.129365, 0.041871, 0.000000, 0.253268, 0.000000, 0.135904, 2.698491, 0.000000, 0.240411, 1.117040, 0.309657, 3.647563, 0.452381, 0.000000, 0.670689, 1.783782, 3.178862, 3.796150, 0.515606, 0.165757, 0.226028, 0.467817, 1.155957, 0.048847, 0.182184, 0.613878
SRR2973316,3,0.138515,7.663455,4.057566,1.535690,0.104233,1.314176,2.436117,3.913355,2.483163,0.875145,0.000000,0.219347,0.042437,0.765481,5.656125,0.110861,2.045169,0.800591,1.389634,6.072684,4.334878,0.246356,0.278900,2.661853,1.382838,6.099003,1.675135,0.074311,0.000000,0.000000,0.156517,0.212644,4.018806,2.812649,1.694141,0.319878,1.917930,1.630404,4.768711,0.290701,0.088632,1.509739,0.000000,3.408247,3.661576,0.694291,0.030223,0.965903,0.312168,0.000000,1.236677,0.107467,2.061785
SRR2973317,3, 0.000000, 2.636869, 1.330262, 0.302032, 0.000000, 1.193967, 8.685894, 2.961102, 8.418495, 2.561020, 1.235692, 3.986643, 0.054173, 0.000000, 3.669613, 0.000000, 0.000000, 2.250241, 0.240663, 9.421101, 0.258788, 3.347399, 0.214043, 1.762111, 1.162520,24.016084, 0.806234, 1.062599, 0.055711, 1.111851, 0.035764, 0.445474, 1.100511, 1.570000, 0.422555, 0.000000, 0.911512, 0.036421, 9.483805, 0.272454, 0.239626,13.262861, 0.580629, 0.429862, 0.096475, 0.438866, 0.351565, 0.287766, 0.246284, 2.095194, 1.699266, 1.978162, 0.159036
SRR2973318,3, 0.000000, 0.787981, 0.388290, 0.287535, 0.000000, 0.923790, 0.654216, 1.684103, 0.000000, 0.776411, 0.814337, 1.809623, 0.000000, 0.000000, 2.107977, 0.000000, 0.000000, 0.289335, 0.000000, 4.762212, 0.000000, 0.394290, 0.000000, 0.483931, 0.127542,45.173255, 0.000000, 0.357470, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.184980, 4.187415, 0.490680, 0.000000, 3.358385, 0.044929, 0.000000, 1.315931, 5.698876, 0.193609, 0.000000, 1.177887, 0.115836, 0.000000, 0.000000, 1.772753, 0.000000, 0.000000, 0.000000
SRR2973319,3, 0.622500, 5.399595, 1.091598, 1.409107, 0.127561, 3.152137, 0.774539, 2.335346, 7.300327, 4.361933, 0.758806,14.895593, 0.563943, 1.508337, 3.887546, 0.134622,23.681728, 0.959603, 0.109049,14.231176, 0.230576, 0.529530, 0.118237, 0.221629, 1.279549,23.690640, 0.504923, 2.245145, 0.320242, 0.290503,45.238694, 1.279225, 1.286050, 0.000000, 0.241753, 0.000000, 4.266677, 2.051842, 4.550427, 0.793317, 1.897695, 0.868857, 3.243885, 0.287263, 3.565184, 0.352674, 3.494222, 1.021567, 0.771723, 2.103962, 0.066633, 0.000000, 0.297223
SRR2973320,3, 0.055558, 0.000000, 1.285597, 0.482523, 0.481587, 0.315746, 0.133025, 6.959069, 0.000000, 1.161437, 6.403879, 1.723569, 0.272970, 0.000000, 1.305802, 0.000000, 0.000000, 2.027292, 0.223899, 4.515693, 0.055203, 0.109857, 0.000000, 0.000000, 0.304245, 8.239855, 0.636651, 0.305965, 0.000000, 2.601969, 0.028237, 0.437789, 2.581473, 1.525123, 1.537365, 0.000000, 1.141939, 0.031169, 3.614599, 0.086348, 0.000000, 4.453759, 0.173925, 0.000000, 4.424246, 1.076591, 0.087319, 5.098882,43.168105, 0.000000, 0.109769, 0.000000, 1.155395
SRR2973321,3,  4.308282,  7.800249,  0.153298,  1.612642,  0.000000,  0.168766,  3.069679,  4.873464,  1.937170,  1.270468,  1.995651, 27.636509,  0.272283,  0.207725,  2.430025,  2.968811,  0.203948,117.285977,  0.099991, 10.029970,  1.258524,  0.673790,  2.397710,  0.431477,  0.485829, 61.036157,  0.225295,  0.179061,  2.762038,  0.000000,  0.085767,  1.441783,  2.356041,  0.153833,  3.343329,  0.249739,  1.424021,  2.210389,  7.500407,  0.079222,  0.054342,  4.725488,  0.000000,  0.260638,  3.897173,  0.138439,  2.800432,  0.892597,  1.939675,  2.153033,  0.335103,  0.526596,  1.068951
SRR2973322,3, 0.201314,10.111164, 5.040797, 1.445839, 0.304399, 1.493448, 0.636322, 5.486924, 4.111568, 3.025914, 1.887762,35.168030, 0.155258, 2.443022, 2.009287, 0.150287, 0.000000, 1.950840, 0.075078, 8.271320,10.074501, 1.662099, 0.197796, 0.814907, 1.298920,12.415130, 0.225283, 0.070466, 0.142146, 0.000000, 0.000000, 1.659265, 0.498549, 0.951631, 1.408123, 0.178385, 2.222702, 1.226403, 6.415408, 0.295040, 0.656546, 5.124013, 0.568418, 0.910756, 0.877397, 0.569882, 2.063791, 0.523905, 0.534417, 0.141151, 0.676835, 0.000000, 0.145943
SRR2973323,3, 0.072923, 6.545623, 1.437221, 2.328798, 0.000000, 0.295747, 2.239636, 0.847710, 0.794562, 1.456366, 3.826358, 0.044680, 0.000000, 0.000000, 2.449107,24.174796,14.116888, 0.000000, 0.879274, 9.694623, 0.064278,99.737014, 1.172149, 0.664521, 0.983170,15.232219, 0.439616, 0.076535, 0.048005, 0.000000, 0.766370, 2.145639, 2.770625, 2.361293, 0.000000, 8.590576, 1.687439, 0.037168, 1.307655, 2.486956, 0.089951,10.822584, 1.360903, 0.000000, 1.238913, 0.000000, 2.539230, 1.129095, 1.012362, 0.000000, 0.000000, 0.000000, 0.242019
SRR2973324,3, 0.112721,25.226553,16.902787, 0.641446, 0.629370, 0.609892,13.204191,11.202739,12.614475, 6.456544, 6.975200, 8.360736, 0.000000, 0.000000, 6.315957, 1.860262,44.719782, 5.886888, 2.664883,29.876105, 0.176264, 0.603830, 1.618030, 1.190068, 1.202346,66.366051, 0.792528, 0.722068, 0.137086, 0.375883, 0.059205, 0.156914, 5.982631, 1.025399, 6.821326, 0.292368, 3.823583, 0.126922,15.469520, 0.582606, 0.217431, 5.174387, 0.996894, 2.570232, 0.890347, 1.014367, 2.745266,16.899382, 0.287719, 1.414790, 2.446463, 0.000000, 1.507268
SRR2973325,3, 1.276779,19.906802, 2.474103, 3.084194, 0.294570, 0.162115, 1.402081,11.136911, 0.542168, 6.301431, 3.551168, 1.178580, 0.059709, 3.302449, 4.136160, 0.193540,19.764873, 0.000000, 0.365024,10.336813, 0.568744, 0.752240, 0.269831, 0.117351, 1.481771, 0.000000, 0.082529, 0.293455, 1.077091, 0.000000, 0.140198, 2.227477, 0.366660, 0.091081, 3.094944, 1.242704, 2.004287, 0.073381,10.184855, 0.501505, 2.204776, 3.115947, 0.136909, 0.567525, 4.561416, 0.813757, 0.970822, 2.517560, 1.006730, 0.577664, 0.306081, 0.138810, 0.000000
