Cell_Ids,Cluster,OR10A2,OR10G3,OR10H1,OR10H5,OR10J1,OR10K1,OR14J1,OR1A1,OR1D2,OR1I1,OR1M1,OR2A5,OR2AG1,OR2AG2,OR2AT4,OR2B11,OR2F1,OR2G6,OR2L2,OR2M3,OR2M4,OR2T12,OR2V2,OR4D1,OR4D9,OR4F17,OR4K13,OR4K17,OR4K2,OR51M1,OR52A1,OR52E4,OR52I1,OR52K1,OR56A1,OR56A4,OR5A1,OR5A2,OR5AS1,OR5AU1,OR5H14,OR6C75,OR6J1,OR6K3,OR6Y1,OR7A17,OR7C1,OR7D2,OR7D4,OR7G2,OR8A1,OR8B8,OR8H1
SRR2973279,6, 1.525334, 2.147938, 1.334136, 1.483808, 0.079996, 0.159727, 0.414814, 0.765880, 4.644199, 1.265130, 0.319511, 0.000000, 0.236167, 0.555664, 0.908297, 0.595406, 1.563469,23.046420, 0.256901, 5.418038, 0.000000, 0.101840, 0.217705, 0.064647, 0.208015, 5.134313, 0.236633, 0.115941, 0.000000, 0.000000, 0.000000, 1.071004, 0.000000, 1.290644, 1.241190, 0.269659, 0.779640, 0.434424, 2.129325, 0.778149, 0.033771, 0.481749, 1.753399, 0.953128, 0.278965, 0.819478, 0.147965, 0.096178, 0.368281, 0.214350, 0.705127, 0.052895, 0.226797
SRR2973280,6, 0.000000, 0.599781, 0.412605, 1.034301, 0.000000, 0.223231, 0.318824, 0.882688, 0.603245, 0.851558, 0.000000,42.790901, 0.000000, 0.000000, 0.326541, 0.035408,70.011540, 3.478622, 0.203583, 3.607249, 0.177372, 0.036251, 1.011520, 0.061763, 0.046672, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.022275, 0.000000, 1.009248, 0.000000, 0.852509, 0.113655, 0.244154, 0.190768, 3.408931, 0.050638, 2.517141, 1.114566, 0.000000, 3.138809, 0.712666, 0.320729, 0.000000, 0.158017, 0.046299, 0.538015, 0.222412, 0.341254, 1.117201
SRR2973281,6,0.045698,0.422807,0.750646,0.780531,0.000000,0.193085,1.057423,1.233073,1.492529,1.064273,0.293023,8.215694,0.041755,0.000000,1.191755,0.427340,6.048174,0.042609,0.056292,9.548328,0.179677,0.000000,0.000000,0.118714,0.305867,1.319240,0.000000,0.523388,0.000000,0.192093,0.151151,0.373904,0.236115,1.194424,0.883085,0.609896,0.358331,0.236988,1.617889,0.036475,0.000000,1.699774,0.242424,3.362866,2.791637,0.445479,0.100051,0.000000,0.318627,0.950638,0.849646,0.000000,0.270507
SRR2973282,6, 0.098974, 1.237276, 0.201610, 0.866870, 0.000000, 0.653157, 2.129714, 2.725357, 0.242111, 2.627244, 0.379993, 0.521287, 0.255258, 0.189423, 1.777835, 0.589157,31.949966, 0.185693, 0.122293, 4.036236, 0.520351, 0.223087, 0.925794, 0.789226, 1.560379, 5.397622, 0.353145, 3.012348, 0.281070, 2.207603, 0.078166, 0.514983, 1.550715, 0.096068, 1.033484, 0.078681, 0.426244, 0.057676, 4.811046, 0.132607, 2.220477, 4.874562, 2.038158, 1.903918, 1.687599, 1.024015, 0.222833, 0.358398, 1.160648, 1.049360, 3.646113, 0.000000, 0.088364
SRR2973283,6, 0.043341, 0.147786, 0.093219, 1.594465, 0.000000, 0.202936, 1.907163, 2.435461, 1.433978, 1.586733, 0.000000, 1.398773, 0.162301, 0.000000, 0.567112, 0.142896,81.307976, 1.814605, 0.471785, 1.815387, 0.500248, 0.137271, 1.261314, 0.000000, 0.817876, 4.514845, 0.086988, 0.094067, 0.030597, 0.321020, 0.679945, 0.000000, 0.379081, 0.638807, 0.000000, 5.134095, 0.826941, 0.153081, 2.430899, 0.028531, 0.000000, 0.979673, 0.202243, 1.666651, 0.119332, 0.195022, 0.080435, 0.090686, 0.000000, 1.987664, 0.105455, 0.096711, 0.594752
SRR2973284,6, 2.082128, 1.098758, 9.930437, 0.744893, 0.000000, 0.388771, 0.126963, 0.736250, 0.153309, 0.279790, 0.000000, 9.631329, 0.000000, 0.000000, 1.037798, 0.069794,38.696989, 0.220525, 0.053016, 1.785455, 0.000000, 0.035605, 0.000000, 0.055017, 1.780463, 8.975069, 0.110235, 1.142620, 0.000000, 0.141147, 0.000000, 0.917460, 0.000000, 0.079490, 0.544339, 0.000000, 0.052183, 0.000000, 0.822490, 0.031704, 0.027136, 0.383032, 0.788322, 2.734718, 0.244738, 0.653969, 0.000000, 0.422627, 0.000000, 0.998117, 0.860208, 0.319994, 0.000000
SRR2973285,6, 0.000000, 5.215364, 0.214710, 0.339316, 0.346851, 0.389725, 0.558017, 3.587327, 4.293991, 1.096608, 0.344267,21.262677, 0.595024, 0.000000, 2.352277, 3.060143, 0.000000, 0.462212, 0.000000, 4.582085, 0.000000, 0.249906, 0.298084, 0.448093, 0.056989, 3.166747, 0.181437, 0.054075, 0.000000, 0.000000, 0.030135, 2.154557, 0.705421, 0.000000, 0.000000, 0.076799, 0.154858, 0.027959, 3.349032, 0.000000, 0.386330, 1.314564, 0.000000, 4.496308, 6.637453, 0.000000, 0.223606, 0.100762, 0.121372, 1.080579, 0.165764, 0.000000, 0.442036
SRR2973286,6,0.000000,0.000000,0.000000,0.080808,0.072016,0.000000,0.035932,0.130448,4.921566,0.984164,0.094511,0.000000,0.000000,0.000000,0.065587,0.000000,0.000000,0.157410,0.000000,2.514128,0.000000,0.026845,0.235210,0.000000,0.245440,1.029471,0.000000,0.000000,0.109654,0.000000,0.000000,0.271643,0.111676,0.026041,0.000000,0.000000,0.241286,0.016919,0.018724,0.000000,0.037327,0.303055,0.000000,0.774124,0.000000,0.000000,6.730795,0.000000,0.000000,0.062047,0.023644,0.042316,0.056977
SRR2973287,6,0.000000,0.225149,0.375608,1.653570,0.000000,0.000000,0.621312,0.242216,0.000000,0.000000,0.099112,0.353424,0.023366,0.404510,2.143453,0.637575,0.000000,0.227693,0.000000,2.406235,0.118630,0.081662,0.186018,0.000000,0.124975,6.196994,0.029063,0.071723,0.000000,0.000000,0.000000,0.052088,0.057468,0.000000,0.000000,0.000000,0.000000,0.017158,0.953081,0.000000,0.025599,3.344387,0.111492,0.000000,0.043781,0.000000,0.000000,0.175167,0.158628,0.069939,0.780365,0.000000,0.000000
SRR2973288,6, 2.591221, 0.704496, 0.789892, 0.424659, 0.749245, 0.359350, 1.801897, 2.947914, 1.400470, 1.114090, 0.846889, 8.126116, 0.000000, 0.000000, 1.593789, 0.102401, 4.954195, 2.684020, 0.125035, 2.136912, 0.137336, 0.688028, 0.328451, 0.000000, 1.358551, 2.064352, 0.182279, 2.900702, 0.000000, 0.000000, 0.025471, 0.245888, 0.526463, 1.409759, 1.024296, 1.087888,20.110156, 0.132357, 1.496704, 0.000000,15.796667, 4.041157, 0.000000, 0.991114, 3.099687, 0.000000, 0.000000, 0.000000, 0.062451, 0.647463, 2.499658, 0.085879, 0.000000
